Concepts,Annotator 1,Annotator 2,Annotator 3
['relevance'],1,1,1
['system evaluation'],1,1,1
['relevant documents'],1,1,1
['nonrelevant documents'],1,1,1
"['ir system', 'ir systems']",1,1,1
['machine learning methods'],1,1,1
['ir evaluation'],1,1,1
['ir'],1,1,1
['trec'],1,1,1
['scoring'],1,1,1
['parameter weights'],1,1,1
"['document', 'documents']",1,1,1
['collection'],1,1,1
['retrieval systems'],1,1,1
"['information need', 'information needs']",1,1,1
['queries'],1,1,1
['inex'],1,1,1
['ntcir'],1,1,1
['marginal relevance'],1,1,1
['test collection'],1,1,1
['trec tracks'],0,0,0
['relevance-based assessment'],1,1,1
['world wide web'],1,1,1
['retrieval effectiveness'],1,0,1
['effectiveness'],1,0,1
['document length normalization methods'],1,1,1
['retrieval results'],0,0,0
['inex evaluations'],1,1,1
