Concepts,Annotator 1,Annotator 2,Annotator 3
['single-pass in-memory indexing'],1,1,1
['blocked sort-based indexing'],1,1,1
['scaling properties'],1,1,1
"['data structure', 'data structures']",1,1,1
['spimi'],1,1,1
"['terms', 'term']",1,1,1
"['termids', 'termid']",1,1,1
['dictionary'],1,1,1
"['collections', 'collection']",1,1,1
['spimi algorithm'],1,1,1
"['documents', 'document']",1,1,1
['term-docid pairs'],1,1,1
"['tokens', 'token']",1,1,1
['spimi-invert'],1,1,1
['token stream'],1,1,1
"['postings list', 'postings lists']",1,1,1
['bsbi'],1,1,1
['termid-docid pairs'],1,1,1
"['postings', 'posting']",1,1,1
['memory'],1,1,1
['dynamically constructed index'],1,1,1
['dictionary terms'],1,1,1
['time complexity'],1,1,1
['hash'],1,1,1
['intermediate data structures'],0,0,0
['inverted index'],1,1,1
['compression'],0,0,0
['disk'],1,1,1
['block'],1,1,1
['disk space'],1,1,1
['algorithm'],1,1,1
['index construction'],1,1,1
['dictionary structure'],0,0,1
