Concepts,Annotator 1,Annotator 2,Annotator 3
"['parametric indexes', 'parametric index']",1,1,1
"['zone indexes', 'zone index']",1,1,1
"['document', 'documents']",1,1,1
"['terms', 'term']",1,1,1
['metadata'],1,1,1
"['fields', 'field']",1,1,1
['query processing'],1,1,1
['postings intersections'],1,1,1
['postings'],1,1,1
"['query', 'queries']",1,1,1
['parametric search'],1,1,1
['search engine'],1,1,1
['b-tree'],1,1,1
"['zones', 'zone']",1,1,1
"['inverted index', 'inverted indexes']",1,1,1
['weighted zone scoring'],1,1,1
"['weighted zone scores', 'weighted zone score']",1,1,1
['weighted zone score'],1,1,1
"['boolean queries', 'boolean query']",1,1,1
['boolean score'],1,1,1
"['boolean function', 'boolean functions']",1,1,1
['ranked boolean retrieval'],1,1,1
['query term'],1,1,1
['two-term query'],1,0,0
"['accumulator', 'accumulators']",1,1,1
"['training examples', 'training example']",1,1,1
['fixed vocabulary'],0,0,0
"['zone score', 'zone scores']",1,1,1
"['boolean value', 'boolean values']",1,1,1
['machine-learned relevance'],1,1,1
['title zone'],0,1,0
['body zone'],0,1,0
['document-query pair'],1,1,1
['quadratic function'],1,1,0
['optimal weight'],0,0,0
['digital documents'],0,1,1
['field value'],0,0,1
"[""field's dictionary""]",1,1,1
['vocabulary stems'],1,1,1
['main memory'],1,1,1
['algorithm'],0,1,1
['postings traversal'],1,1,1
['boolean and query'],1,1,1
['array'],1,1,1
['learning weights'],0,0,0
['information retrieval'],1,1,1
['machine learning'],1,1,1
['learned scores'],1,1,1
['boolean match scores'],1,1,1
['collection'],1,1,1
['boolean match function'],1,1,1
['boolean variables'],1,1,1
['training document'],1,1,1
['training query'],1,1,1
