Concepts,Annotator 1,Annotator 2,Annotator 3
['bias-variance tradeoff'],1,1,1
"['nonlinear classifiers', 'nonlinear classifier']",1,1,1
"['linear classifiers', 'linear classifier']",1,1,1
['classification error'],1,1,1
['text classification'],1,1,1
['machine learning'],1,1,1
"['text classification problem', 'text classification problems']",1,1,1
['knn'],1,1,1
"['linear models', 'linear model']",1,1,1
['nonlinear models'],1,1,1
['quadratic polynomial'],1,1,1
['complexity of learning'],1,1,1
['feature selection'],1,1,1
['regularization'],1,1,1
['margin maximization'],1,1,1
['training documents'],1,1,1
['test documents'],1,1,1
"['document', 'documents']",1,1,1
['document representation'],1,1,1
['bag of words model'],1,1,1
['mean squared error'],1,1,1
['optimal classifier'],1,1,1
['mse'],1,1,1
"['classifiers', 'classifier']",1,1,1
"['learning methods', 'learning method']",1,1,1
['learning error'],1,1,1
['statistical text classification'],1,1,1
['optimal learning method'],1,1,1
['bias'],1,1,1
['conditional probability'],1,1,1
"['training sets', 'training set']",1,1,1
['linear methods'],1,1,1
['rocchio'],1,1,1
['naive bayes'],1,1,1
['nonlinear class boundary'],1,1,1
"['nonlinear method', 'nonlinear methods']",1,1,1
['variance'],1,1,1
['linear learning methods'],1,1,1
['overfitting'],1,1,1
['model complexity'],1,1,1
['rocchio classifier'],1,1,1
['one-feature classifier'],1,1,1
['misclassifications'],1,1,1
['text classification algorithms'],1,1,1
['linear svms'],1,1,1
['regularized logistic regression'],1,1,1
['regularized linear regression'],1,1,1
['likelihood of linear separability'],1,1,1
['high-dimensional spaces'],1,1,1
"['nonlinear learning methods', 'nonlinear learning method']",1,1,1
['training data'],1,1,1
['zero classification error'],0,0,0
['generative models'],1,1,1
['test set'],1,1,1
['linear hyperplane'],1,1,1
['decision boundaries'],1,1,1
['memory capacity'],1,1,1
"['centroid', 'centroids']",1,1,1
['fit-training-set-perfectly classifier'],1,1,1
['svms'],1,1,1
['effectiveness'],1,1,1
['underlying distribution'],0,0,1
['class'],1,1,1
['positive and negative errors'],1,1,1
['non-linear problems'],1,1,1
"['class boundary', 'class boundaries']",1,1,1
['noise documents'],1,1,1
['linear separability'],1,1,1
['linearity'],1,1,1
['hyperplane'],1,1,1
