Concepts,Annotator 1,Annotator 2,Annotator 3
['text classification problem'],1,1,1
['document space'],1,1,1
"['class', 'classes']",1,1,1
['labels'],1,1,1
['high-dimensional space'],1,1,1
['learning method'],1,1,1
['learning algorithm'],1,1,1
['classification function'],1,1,1
['classifier'],1,1,1
['supervised learning'],1,1,1
['naive bayes learning method'],1,1,1
['naive bayes'],1,1,1
['nb classifier'],1,1,1
['nb learning method'],1,1,1
['text classification'],1,1,1
['reuters-rcv1 collection'],1,1,1
['training documents'],1,1,1
['test set'],1,1,1
['test data'],1,1,1
['classification problem'],1,1,1
['accuracy'],1,1,1
['training set'],1,1,1
"['document', 'documents']",1,1,1
['document'],1,1,1
['documents'],1,1,1
['classification'],0,0,0
['categories'],1,1,1
['nb'],0,0,0
['reuters-rcv1'],0,0,0
['distribution'],1,0,1
['training data'],1,1,1
