Concepts,Annotator 1,Annotator 2,Annotator 3
['text-centric xml'],1,1,1
['data-centric xml'],1,1,1
['text-centric retrieval engine'],1,1,0
['data-centric xml retrieval'],1,1,1
['structured retrieval'],1,1,1
['xml structure'],1,1,1
"['query', 'queries']",1,1,1
['query'],1,1,1
['queries'],1,1,1
['xml documents'],1,1,1
['unstructured retrieval methods'],1,1,1
['additional structural constraints'],0,0,0
['xml document retrieval'],1,1,1
['inexact matching'],0,0,0
['relevance-ranked results'],1,1,0
['relational databases'],1,1,1
['exact match conditions'],0,0,0
['xml queries'],1,1,1
['ranking'],1,1,1
['text-centric approaches'],1,1,1
['xml'],1,1,1
['data-centric approaches'],1,1,1
['text-centric retrieval engine'],1,1,1
['text-centric structured retrieval model'],1,1,1
['query languages'],1,1,1
['xquery'],1,1,1
['xquery-based ranked retrieval system'],1,1,1
['information retrieval'],1,1,1
['xml retrieval'],1,1,1
['data-centric xml retrieval systems'],1,1,1
['text-centric xml retrieval'],1,1,1
"['ordering constraints', 'ordering constraint']",0,0,1
['joins'],1,1,1
['database framework'],1,1,1
['tuples'],1,1,1
['structural constraints'],0,0,1
['text fields'],0,0,1
['information need'],1,1,1
['document structure'],0,0,0
['de facto standard'],0,0,0
"['databases', 'database']",1,1,1
['data collections'],1,1,1
['elements'],0,0,1
['node'],0,0,1
['relation database'],0,0,0
