Concepts,Annotator 1,Annotator 2,Annotator 3
"['xml document', 'xml documents']",1,1,1
"['tree', 'trees']",1,1,1
"['node', 'nodes']",1,1,1
['xml element'],1,1,1
['tag'],0,0,0
"['xml attribute', 'xml attributes']",1,1,1
['leaf nodes'],1,1,1
['internal nodes'],1,1,1
['parents'],1,1,1
['children'],1,1,1
['xpath'],1,1,1
"['xml contexts', 'xml context']",1,1,1
['xml document collection'],1,1,1
['vocabulary term'],1,1,1
"['schema', 'schemas']",1,1,1
['xml dtd'],1,1,1
['xml schema'],1,1,1
['structured queries'],1,1,1
['xml retrieval system'],1,1,1
['collection'],1,1,1
['xml queries'],1,1,1
['nexi'],1,1,1
['narrowed extended xpath i'],1,1,0
"['query', 'queries']",1,1,1
['relational attribute constraints'],1,1,1
['information retrieval problem'],1,1,1
['xml retrieval'],1,1,1
['nexi query'],1,1,1
['relational attributes'],1,1,1
"['documents', 'document']",1,1,1
['element nodes'],1,1,1
['xml'],1,1,1
['ordered tree'],1,1,0
['xml dom'],1,1,1
['root element'],1,1,1
['ranking constraint'],1,1,1
['keywords'],0,0,0
['opening tag'],1,1,1
['closing tag'],1,1,1
['metadata'],1,1,1
['xml document object model'],1,1,1
['dom'],1,1,1
['element path'],0,0,1
['term'],1,1,1
['search'],1,1,1
['attribute nodes'],1,1,1
['subtree'],1,1,1
['element-node tree'],1,1,1
