Concepts,Annotator 1,Annotator 2,Annotator 3
['text classification'],1,1,1
['naive bayes'],1,1,1
['ad hoc retrieval'],1,1,1
"['queries', 'query']",1,1,1
['search engine'],1,1,1
['index'],1,1,1
['indexing'],1,1,1
"['standing queries', 'standing query']",1,1,1
['collection'],1,1,1
"['documents', 'document']",1,1,1
['terms'],1,1,1
['recall'],1,1,1
['boolean search engine'],1,1,1
['stemming'],1,1,1
['classification'],1,1,1
"['classes', 'class']",1,1,1
['two-class classification'],1,1,1
['routing'],1,1,1
['filtering'],1,1,1
['text categorization'],1,1,1
['topic classification'],1,1,1
['topic spotting'],1,1,1
['information retrieval'],1,1,1
['computer vision'],1,1,1
['clasifier'],1,1,1
['ascii'],1,1,1
['unicode utf-8'],1,1,1
['word segmentation'],1,1,1
['search engine index'],1,1,1
['sentiment detection'],1,1,1
['email sorting'],1,1,1
['classifier'],1,1,1
['vertical search'],1,1,1
['topic-specific serach'],1,1,1
"['vertical search engines', 'vertical search engine']",1,1,1
['precision'],1,1,1
['ranking function'],1,1,1
['rules in text classification'],0,0,0
['machine learning-based text classification'],1,1,1
['machine learning'],1,1,1
['text classifier'],1,1,1
['statistical text classification'],1,1,1
['labeling'],1,1,1
['classification algorithms'],1,1,1
['efficiency'],1,1,1
['feature selection'],1,1,1
['classification methods'],1,1,1
['vector space classifiers'],1,1,1
['support vector machines'],1,1,1
['information needs'],1,1,1
['ir'],1,1,1
['preprocessing'],1,1,1
['truecasing'],1,1,1
['automatic classification'],1,1,1
['ranking'],0,0,0
['ad hoc information retrieval'],1,1,1
['multicore computer chips'],0,0,0
['multicore'],0,0,0
['multicore processors'],1,0,0
['topics'],1,1,1
['spam pages'],0,0,0
['safesearch'],0,0,0
['topic-specific search'],1,1,1
['retrieval systems'],1,1,1
['rules'],0,0,0
['training data'],1,1,1
['relevance feedback'],1,1,1
['evaluation of text classification'],1,1,1
