Concepts,Annotator 1,Annotator 2,Annotator 3
['binary independence model'],1,1,1
['prp'],1,1,1
['boolean'],1,1,1
['binary'],1,1,1
"['documents', 'document']",1,1,1
"['queries', 'query']",1,1,1
['binary term incidence vectors'],1,1,1
"['term', 'terms']",1,1,1
['vector representation'],1,1,1
['incidence vector'],1,1,1
['independence'],1,0,1
['naive bayes models'],1,1,1
['multivariate bernoulli naive bayes model'],1,1,1
['probabilistic retrieval strategy'],1,1,1
['relevance'],1,1,1
['document relevance'],1,1,1
['estimated probability of relevance'],1,1,1
['bim'],1,1,1
['bayes rule'],1,1,1
['document collection'],1,1,1
['prior probability'],1,1,1
"['relevant document', 'relevant documents']",1,1,1
['relevant document'],1,1,1
['relevant documents'],1,1,1
['nonrelevant document'],1,1,1
['collection'],1,1,1
['ranking function'],1,1,1
['query terms'],1,1,1
['ranking of documents'],1,1,1
['odds of relevance'],1,1,1
['probability of relevance'],1,1,1
['naive bayes assumption'],1,1,1
['naive bayes conditional independence assumption'],1,1,1
['retrieval status value'],1,1,1
['odds ratio'],1,1,1
['vector space model calculations'],0,0,0
['relative frequency'],1,1,1
['maximum likelihood estimate'],1,1,1
['mle'],1,1,1
['smoothing'],1,1,1
['pseudocounts'],1,1,1
['bayesian prior'],1,1,1
['uniform distribution'],1,1,1
['vocabulary'],1,1,1
['maximum a posteriori'],1,1,1
['frequency of term occurrence'],1,1,1
['(pseudo-)relevance feedback'],1,1,1
['iterative process'],1,1,1
['relevance judgments'],1,1,1
['bayesian updating'],1,1,1
['bernoulli random variable'],1,1,1
['uniformly distributing pseudocounts'],0,0,0
['pseudo-relevance feedback'],1,1,1
['tf-idf'],1,1,1
['probability function'],1,1,1
['vector space model'],1,1,1
['information need'],1,1,1
['relevance feedback'],1,1,1
['probabilistic retrieval'],1,1,1
['term frequency'],1,1,1
['document frequency'],1,1,1
['document length'],1,1,1
['probability of document relevance'],1,1,1
"['term incidence vectors', 'term incidence vector']",1,1,1
['term incidence vectors'],1,1,1
['term incidence vector'],1,1,1
['log odds ratios'],1,1,1
['maximum a posteriori estimation'],1,1,1
['idf weighting'],1,1,1
['probabilistic approaches'],1,1,1
['relevance feedback weighting'],1,1,1
['data analysis'],0,1,1
['algorithm'],1,1,1
['tf-idf value'],1,1,1
['log scaled components'],0,0,0
['odds'],1,1,1
['probability'],0,1,1
['distribution'],0,0,0
['combination match model'],0,0,0
['idf'],1,1,1
['probability estimates'],0,0,0
['beta distribution prior'],1,1,1
['prior distribution'],1,1,1
['pseudo-relevance feedback version'],1,1,1
