Concepts,Annotator 1,Annotator 2,Annotator 3
"['dictionaries', 'dictionary']",1,1,1
['tolerant retrieval'],1,1,1
"['inverted indexes', 'inverted index']",1,1,1
"['proximity queries', 'proximity query']",1,1,1
"['data structures', 'data structure']",1,1,1
"['terms', 'term']",1,1,1
['vocabulary'],1,1,1
['wildcard query'],1,1,1
"['documents', 'document']",1,1,1
"['query term', 'query terms']",1,1,1
['standard inverted index'],1,1,1
['postings list'],1,1,1
['collection'],1,1,1
['postings'],1,1,1
['hashing'],1,1,1
"['search trees', 'search tree']",1,1,1
"['keys', 'key']",1,1,1
"['search engines', 'search engine']",1,1,1
"['pointer', 'pointers']",1,1,1
['binary tree'],1,1,1
['binary search tree'],1,1,1
['efficient search'],1,1,1
"['b-tree', 'b-trees']",1,1,1
['document collection'],1,1,1
['ordering system'],0,0,0
['retrieval'],0,0,0
"['query', 'queries']",1,1,1
['boolean query'],0,0,0
"['vocabulary term', 'vocabulary terms']",1,1,1
['hash function'],1,1,1
['balance property'],1,1,1
['disk-resident'],0,1,0
['binary test'],1,1,1
['boolean'],0,0,1
['search'],1,1,1
['vocabulary lookup operation'],1,1,1
['relative frequencies'],0,0,1
['hash collisions'],1,1,1
['collisions'],0,0,0
['auxiliary structures'],0,0,0
['node'],1,1,1
['children'],1,1,1
['root'],1,1,1
['sub-trees'],1,1,1
['tree'],1,1,1
['rebalancing'],1,1,1
['branch'],1,1,1
['collapsing'],0,0,1
['pre-fetching imminent binary tests'],0,0,1
['disk blocks'],1,1,1
