Concepts,Annotator 1,Annotator 2,Annotator 3
"['language modeling approaches', 'language modeling approach']",1,1,1
['ir'],1,1,1
"['language model',  'language models']",1,1,1
['language modeling'],1,1,1
"['query', 'queries']",1,1,1
['document likelihood model'],1,1,1
['relevance feedback'],1,1,1
"['terms', 'term']",1,1,1
['bim model'],1,1,1
['pseudo-relevance feedback'],1,1,1
['kullback-leibler divergence'],1,1,1
['kl divergence'],1,1,1
['probability distribution'],1,1,1
"['query-likelihood approaches', 'query-likelihood approach']",1,1,1
['document-likelihood approaches'],1,1,1
['ranking function'],1,0,1
['ad hoc retrieval'],1,1,1
['topic tracking'],1,1,1
['normalized log-likelihood ratio'],1,1,1
['synonymy'],1,1,1
"['documents', 'document']",1,1,1
"['translation model', 'translation models']",1,1,1
['cross-language ir'],1,1,1
['conditional probability distribution'],1,1,1
['translation query generation model'],1,1,1
['document language model'],1,1,1
['bilingual dictionary'],1,1,1
['document collection'],1,1,1
['query likelihood lm'],1,1,1
['query language model'],1,1,1
['relevant documents'],1,1,1
['information theory'],1,1,1
['query-likelihood'],1,1,1
['document-likelihood'],1,1,1
['log-likelihood ratio'],1,1,1
['vocabulary terms'],1,1,1
['relevance feedback models'],1,1,1
['relevance model of lavrenko and croft'],0,0,0
['document retrieval'],1,1,1
['cross-entropies'],1,1,1
['lms'],1,1,1
['traditional thesaurus'],0,0,0
['statistical machine translation system'],0,0,0
['translation dictionary'],1,1,1
['anchor-text'],0,0,1
['hypertext'],1,1,1
