Concepts,Annotator 1,Annotator 2,Annotator 3
"['nonlinear classifiers', 'nonlinear classifier']",1,1,1
"['linear classifiers', 'linear classifier']",1,1,1
['naive bayes'],1,1,1
['rocchio'],1,1,1
['text classifiers'],1,1,1
"['two-class classifier', 'two-class classifiers']",1,1,1
['two-dimensional vector representation'],1,1,1
"['document', 'documents']",1,1,1
['2d linear classifier'],1,1,1
"['decision hyperplane', 'decision hyperplanes']",1,1,1
['algorithm'],1,1,1
['m-dimensional vectors'],1,1,1
['linear problem'],1,1,1
['class boundary'],1,1,1
['text classification'],1,1,1
"['noise documents', 'noise document']",1,1,1
['noise feature'],1,1,1
['document representation'],1,1,1
['classification error'],1,1,1
['training set'],1,1,1
['classifier'],1,1,1
"['linear separability', 'linear separators']",1,1,1
['linearly separable problem'],1,1,1
['nonlinear problem'],1,1,1
['linear classification'],1,1,1
['decision boundary'],1,1,1
['centroids'],1,1,1
['decision rule'],0,0,0
['vocabulary'],1,1,1
['knn'],1,1,1
['decision boundaries'],0,1,0
['linear hyperplanes'],1,1,1
['features'],1,1,1
['threshold'],0,0,0
['parameter vector'],0,0,0
"['hyperplane', 'hyperplanes']",1,1,1
"['learning methods', 'learning method']",1,1,1
['effectiveness'],1,1,1
['class centroids'],1,1,1
['category'],1,1,1
['tokens'],1,1,1
['class'],1,1,1
['terms'],1,1,1
['log space'],1,1,1
['underlying distributions'],0,0,1
['training data'],1,1,1
