Concepts,Annotator 1,Annotator 2,Annotator 3
"['positional postings', 'positional posting']",1,1,1
"['phrase queries', 'phrase query']",1,1,1
"['queries', 'query']",1,1,1
"['postings lists', 'postings list']",1,1,1
['ranked retrieval'],1,1,1
"['biword indexes', 'biword index']",1,1,1
['vocabulary term'],1,0,0
"['boolean query', 'boolean queries']",1,1,1
"['documents', 'document']",1,1,1
['part-of-speech-tagging'],1,1,1
['phrase index'],1,1,1
"['terms', 'term']",1,1,1
['vocabulary'],1,1,1
['exhaustive biword dictionary'],0,0,0
"['positional indexes', 'positional index']",1,1,1
['token index'],1,1,1
['merge operation'],1,1,1
['positional index size'],0,0,0
['postings intersection operation'],0,0,0
['document collection'],1,1,1
['next word index'],1,1,1
['double quotes syntax'],0,0,0
"['implicit phrase query', 'implicit phrase queries']",1,1,1
['web query'],1,1,1
['term proximity weighting'],1,1,1
['phrase'],0,0,0
['biwords'],1,1,1
['biword indexing model'],1,1,1
['indexing model'],1,1,1
"['tokenize', 'tokens']",1,1,1
['text'],0,0,0
['extended biword index'],0,0,0
['false positive match'],1,1,0
['biword dictionary'],1,1,1
['position'],0,0,0
['term frequency'],1,1,1
['inverted index'],1,1,1
['offsets'],0,0,0
['k word proximity searches'],1,1,1
['postings intersection'],1,1,1
['positional postings lists'],1,1,1
"['search engines', 'search engine']",1,1,1
['query terms'],1,1,1
['extended biwords'],0,0,0
['index'],1,1,1
['algorithm'],0,0,1
['part-of-speech patterns'],1,1,1
['searches'],1,1,1
['dictionary'],1,1,1
"['postings', 'posting']",1,1,1
['docid'],1,1,1
['inverted index entries'],0,0,0
['proximity searches'],0,0,0
['non-positional index'],1,1,1
['compressed positional index'],1,1,1
['collection'],1,1,1
['querying behavior'],0,0,1
