Concepts,Annotator 1,Annotator 2,Annotator 3
['dictionary compression'],1,1,1
['dictionary data structures'],1,1,1
['compression ratios'],1,1,1
"['dictionary', 'dictionaries']",1,1,1
['ir system'],1,1,1
['disk seeks'],1,1,1
"['query', 'queries']",1,1,1
['disk'],1,0,1
['main memory'],1,1,1
['collections'],1,1,1
['enterprise search server'],1,1,1
['vocabulary'],1,1,1
['search systems'],1,1,1
['string'],1,1,1
['data structure'],1,1,1
['array'],0,0,0
"['bytes', 'byte']",1,1,1
['gigabytes'],1,1,1
['pointer'],1,1,1
['reuters-rcv1'],1,1,1
"['term', 'terms']",1,1,1
['binary search'],1,1,1
['blocked storage'],1,1,1
"['term pointer', 'term pointers']",1,1,1
['front coding'],1,1,1
['minimal perfect hashing'],1,1,1
['hash function'],1,1,1
['hashes'],0,0,0
['collision'],1,0,0
['b-tree'],1,1,1
['postings file'],1,1,1
['query throughput'],0,1,0
['desktop machine'],0,0,0
['multiterabyte'],0,0,0
['mobile phones'],0,0,0
['onboard computers'],1,1,1
['startup time'],0,0,0
['word processing suite'],0,1,0
['document frequency'],1,1,1
['postings list'],1,1,1
['bytes per pointer'],0,0,0
['megabytes'],1,1,1
['dictionary terms'],1,1,1
['reuters-rcv1 dictionary'],1,1,1
['postings pointer'],1,1,1
['compression'],0,0,0
['list search'],0,0,0
['term list'],1,1,1
['postings'],1,1,1
['dictionary page'],0,0,0
['query evaluation'],1,1,1
['standard desktop machine'],0,0,0
['multiterabyte collection'],1,1,1
['documents'],1,1,1
['memory'],1,1,1
['memory-hogging word'],0,0,0
['gb'],1,1,1
['four-byte pointers'],1,1,1
['mb'],1,1,1
['frequency'],0,0,0
"['blocks', 'block']",0,0,1
['four-term block'],0,0,1
['eight-term dictionary'],0,0,0
['compressed dictionary'],1,1,1
['linear search'],1,1,1
['uncompressed dictionary'],1,1,1
['perfect hashes'],1,1,1
['perfect hash function'],1,1,1
['compression scheme'],1,1,1
['memory-hogging word processing suite'],1,0,1
