Concepts,Annotator 1,Annotator 2,Annotator 3
['relevance feedback'],1,1,1
['synonymy'],1,1,1
['recall'],1,1,1
['information retrieval systems'],1,1,1
['search'],1,1,1
['query terms'],1,1,1
['query reformulation'],1,1,1
['automatic thesaurus generation'],1,1,1
['wordnet'],1,1,1
['spelling correction'],1,1,1
['pseudo relevance feedback'],1,1,1
['blind relevance feedback'],1,1,1
['indirect relevance feedback'],1,1,1
['query expansion'],1,1,1
['collections'],1,1,1
['query'],1,1,1
['query refinement'],1,1,1
['global methods'],0,1,1
['local methods'],0,1,1
['documents'],1,1,1
['terms'],1,1,1
