Concepts,Annotator 1,Annotator 2,Annotator 3
['xml retrieval'],1,1,1
['structured retrieval'],1,1,1
['unstructured retrieval'],1,1,1
"['collection', 'collections']",1,1,1
['structured documents'],1,1,1
"['queries', 'query']",1,1,1
"['documents', 'document']",1,1,1
['xml elements'],1,1,1
['ir systems'],1,1,1
['structured document retrieval principle'],1,1,1
"['tree', 'trees']",1,1,1
"['indexing unit', 'indexing units']",1,1,1
['non-overlapping pseudodocuments'],1,1,0
['leaves'],1,1,1
['relevance'],1,1,1
['leaf element'],1,1,1
['nested elements'],1,1,1
['xml retrieval system'],1,1,1
"['query terms', 'query term']",1,1,1
['structured queries'],1,1,1
['nesting'],0,0,0
['term'],1,1,1
['inverse document frequency'],1,1,1
['ir'],1,1,1
['xml documents'],1,1,1
['schema heterogeneity'],1,1,1
['schema diversity'],1,1,1
['document structures'],1,1,1
['query interface'],1,1,1
['parent-child relationships'],1,1,1
"['extended queries', 'extended query']",1,1,1
['indexing'],1,1,1
['document unit'],1,1,1
['term statistics'],0,0,0
['ranking'],1,1,1
['document frequency'],1,1,1
['idf'],1,1,1
['idf weights'],1,1,1
['xml-context pairs'],1,1,1
['df'],1,1,1
['xml schemas'],1,1,1
['ir application'],1,1,0
['keyword queries'],1,1,1
['pseudo-xpath notation'],1,1,1
['retrieval'],1,1,1
['nodes'],0,0,1
['pseudodocuments'],1,1,1
"['elements', 'element']",0,0,1
"['subelements', 'subelement']",0,0,1
['typographical elements'],0,0,1
['path'],0,0,1
['root node'],1,1,1
['leaf node'],1,1,1
['element types'],0,0,1
"['schema', 'schemas']",0,0,0
['content node'],0,0,1
['sparse data problems'],1,1,1
['xml-term pairs'],1,0,1
['parent node'],1,1,1
['root'],0,0,1
['intervening nodes'],0,0,1
['tree structure'],1,1,1
['structural constraints'],0,0,1
