Concepts,Annotator 1,Annotator 2,Annotator 3
['query generation probability'],1,1,1
"['lm', 'lms']",1,1,1
"['query', 'queries']",1,1,1
['maximum likelihood estimation'],1,1,1
"['language model', 'language models']",1,1,1
['language model'],1,1,1
['language models'],1,1,1
"['document', 'documents']",1,1,1
['term frequency'],1,1,1
"['term', 'terms']",1,1,1
['tokens'],1,1,1
['speech recognition'],1,1,1
['training data'],1,1,1
['ir'],1,1,1
['vector space systems'],1,1,1
['conjunctive semantics'],1,1,1
['smoothing'],1,1,1
['term weighting component'],0,0,0
['unsmoothed model'],1,0,1
"['document language model', 'document language models']",1,1,1
['smoothing probability distributions'],0,0,0
['probability distribution'],1,1,1
['collection'],1,1,1
['document-specific multinomial distribution'],0,0,0
['multinomial distribution'],1,1,1
['document collection'],1,1,1
['linear interpolation language model'],1,1,1
['bayesian updating process'],1,1,1
['smoothing methods'],1,1,1
['mle'],1,1,1
['line search'],1,1,1
['expectation maximimization algorithm'],1,1,1
['unigram assumption'],0,0,0
['language model of document'],1,1,0
['zero probabilities'],1,1,1
['speech recognition application'],1,1,1
['ir application'],1,1,1
['human-computer interface'],1,1,1
['web search'],1,1,1
['conjunctive  semantics'],0,0,0
['term weighting'],1,1,1
['linear interpolation smoothing'],1,1,1
['unigram'],1,1,1
['multinomial'],0,0,0
['non-zero probability'],0,0,0
['prior distribution'],1,1,1
['uniform distribution'],1,1,1
['linear interpolation smoothing method'],0,0,1
['probability estimate'],0,0,0
['conjunctive-like search'],0,0,0
['retrieval ranking'],1,1,1
