Concepts,Annotator 1,Annotator 2,Annotator 3
['k-means'],1,1,1
['flat clustering algorithm'],1,1,1
['euclidean distance'],1,1,1
"['centroid', 'centroids']",1,1,1
['documents'],1,1,1
['length-normalized vectors'],1,1,1
['rocchio classification'],1,1,1
['residual sum of squares'],1,1,1
['rss'],1,1,1
"['seed', 'seeds']",1,1,1
['global minimum'],1,1,1
['outliers'],1,1,1
['singleton cluster'],1,1,1
['seed selection'],1,1,1
['deterministic hierarchical clustering methods'],1,1,1
['buckshot algorithm'],1,1,1
['time complexity'],1,1,1
['hierarchical algorithms'],1,1,1
['linear algorithm'],1,1,1
['k-medoids'],1,1,1
['medoid'],1,1,1
"['cluster', 'clusters']",1,1,1
['clustering'],1,1,1
['algorithm'],1,1,1
['hierarchical clustering'],1,1,1
['hierarchical clustering methods'],1,1,1
['random sample'],1,1,1
['sparse document vectors'],1,1,1
['average squared euclidean distance'],1,1,1
['cluster centers'],1,1,1
['mean'],1,1,1
['real-valued space'],1,1,1
['training set'],1,1,1
['k-means algorithm'],1,1,1
['suboptimal clustering'],1,1,1
['iterations'],1,1,1
['high dimensionality'],1,1,1
['distance computations'],1,1,1
