Concept,Mengdi,Nidhi,Mingyan,Mengdi (after),Nidhi (after),Mingyan (after),Notes
['hard flat clustering'],1,1,1,1,1,1,
['objective function'],1,1,1,1,1,1,
['k-means clustering'],1,1,1,1,1,1,
"['documents', 'document']",1,1,1,1,1,1,
['centroids'],1,1,1,1,1,1,
['similarity measures'],1,1,1,1,1,1,
['distance metrics'],1,1,1,1,1,1,
['topic similarity'],1,1,1,1,1,1,
['vector space model'],1,1,1,1,1,1,
['cosine similarity'],1,1,1,1,1,1,
['euclidean distance'],1,1,1,1,1,1,
['vector space'],1,1,1,1,1,1,
['stop words'],1,1,1,1,1,1,
['hard clustering'],1,1,1,1,1,1,
['partitional clustering'],1,1,1,1,1,1,
['partitional hierarchical clustering'],1,1,1,1,1,1,
['soft clustering'],1,1,1,1,1,1,
['exhaustive clusterings'],1,1,1,1,1,1,
['non-exhaustive clusterings'],1,1,1,1,1,1,
['cardinality of a clustering'],1,1,1,1,1,1,
['k-means'],1,1,1,1,1,1,
"['clusters', 'cluster']",1,1,1,1,1,1,
['clustering'],1,1,1,1,1,1,
['set of documents'],0,1,0,1,1,1,
['cardinality'],1,1,1,1,1,1,
['similarity'],0,0,1,0,0,0,
['distance between documents'],1,1,1,1,1,1,
['relatedness'],0,0,1,0,0,0,
['membership'],0,0,1,0,0,1,
['heuristic method'],1,1,1,1,1,1,
