Concept,Mengdi,Nidhi,Mingyan,Mengdi (after),Nidhi (after),Mingyan (after),Notes
['ad hoc information retrieval'],1,1,0,0,1,0,
['document collection'],1,1,1,1,1,1,
"['information needs', 'information need']",1,1,1,1,1,1,
"['queries', 'query']",1,1,1,1,1,1,
['query-document pair'],1,1,1,1,1,1,
['relevance'],1,1,1,1,1,1,
"['document', 'documents']",1,1,1,1,1,1,
['binary classification'],1,1,1,1,1,1,
['gold standard'],1,1,1,1,1,1,
['ground truth'],1,1,1,1,1,1,
"['development test collections', 'development test collection']",1,1,1,1,1,1,
['test collection'],1,1,1,1,1,1,
['unbiased estimate'],1,0,0,1,0,0,
['web search engine'],1,1,1,1,1,1,
['python'],0,1,0,0,0,0,ignore all query examples
['binary relevance judgments'],0,1,0,1,1,0,
['collection'],1,1,1,1,1,1,
['information retrieval system evaluation'],1,1,1,1,1,1,
['ad hoc information retrieval effectiveness'],1,0,1,1,1,1,
['test document collection'],1,1,1,1,1,1,
