Concept,Mengdi,Nidhi,Mingyan,Mengdi (after),Nidhi (after),Mingyan (after),Notes
"['k nearest neighbor', 'k nearest neighbors']",1,1,1,1,1,1,
['knn classification'],1,1,1,1,1,1,
['1nn'],1,1,1,1,1,1,
['knn'],1,1,1,1,1,1,
"['document', 'documents']",1,1,1,1,1,1,
['test document'],1,1,1,1,1,1,
"['training documents', 'training document']",1,1,1,1,1,1,
"['decision boundaries', 'decision boundary']",1,1,1,1,1,1,
['voronoi tessellation'],1,1,1,1,1,1,
['voronoi cells'],1,1,1,1,1,1,
"['convex polygon', 'convex polygons']",1,1,1,1,1,1,
['convex region'],1,1,1,1,1,1,
['knn classification algorithm'],1,1,1,1,1,1,
['training set'],1,1,1,1,1,1,
['cosine similarity'],1,1,1,1,1,1,
['k nearest neighbor classification'],1,1,1,1,1,1,
['contiguity hypothesis'],1,1,1,1,1,1,
['2-dimensional space'],1,1,1,1,1,1,
['classification'],1,1,1,1,1,1,
['knn algorithm'],1,1,1,1,1,1,
['rocchio'],1,1,1,1,1,1,
['classification decision'],0,0,1,0,0,0,
['class'],1,1,1,1,1,1,
['probability estimates'],1,0,1,1,1,1,
['classification problem'],1,1,1,1,1,1,
['held-out portion'],0,0,1,0,0,0,
