Concept,Mengdi,Nidhi,Mingyan,Mengdi (after),Nidhi (after),Mingyan (after),Notes
"['query reformulation', 'query reformulations']",1,1,1,1,1,1,
"['search', 'searches']",1,1,1,1,1,1,
['ir system'],1,1,1,1,1,1,
['inverted index'],1,1,1,1,1,1,
"['terms', 'term']",1,1,1,1,1,1,
['collection'],1,1,1,1,1,1,
['query expansion'],1,1,1,1,1,1,
['relevance feedback'],1,1,1,1,1,1,
['documents'],1,1,1,1,1,1,
['query'],1,1,1,1,1,1,
['query terms'],1,1,1,1,1,1,
['search engines'],1,1,1,1,1,1,
['query suggestions'],1,1,1,1,1,1,
['expanded queries'],1,1,1,1,1,1,
['controlled vocabulary'],1,1,1,1,1,1,
['manual thesaurus'],1,1,0,1,1,0,
['automatically derived thesaurus'],1,1,0,1,1,0,
['collection of documents'],1,0,0,1,0,1,
['manual query reformulations'],1,1,0,0,0,0,
['query volume'],1,0,0,0,0,0,
['web search'],1,1,1,1,1,1,
['thesaurus-based query expansion'],1,1,1,1,1,1,
['automatic thesaurus generation'],1,1,1,1,1,1,
['word cooccurrence'],1,1,0,1,1,1,
['grammatical dependencies'],1,0,0,0,0,0,
['grammatical relations'],1,1,0,0,0,0,
['co-occurrence thesaurus'],1,1,0,1,1,1,
['term-term similarities'],1,1,1,1,1,1,
['term-document matrix'],1,1,1,1,1,1,
['length-normalized rows'],1,0,0,0,0,0,
['dimensionality reduction'],1,1,1,1,1,1,
['latent semantic indexing'],1,1,1,1,1,1,
['thesaurus terms'],1,1,0,0,0,0,
['term ambiguity'],1,1,1,1,1,1,
['false positives'],1,1,1,1,1,1,
['automatic thesaurus'],1,0,0,0,0,0,
['recall'],1,1,1,1,1,1,
['precision'],1,1,1,1,1,1,
['ambiguous terms'],1,0,0,0,0,0,
['pseudo relevance feedback'],1,1,1,1,1,1,
['vocabulary tools'],0,1,0,0,0,0,tools too general
['stop lists'],1,1,1,1,1,1,
['stemmed'],0,1,0,0,0,0,not noun
['phrase'],0,1,0,0,0,0,
['search terms'],0,1,0,0,0,0,not noun
['query words'],0,1,0,0,0,0,words too general
['alternative query suggestions'],0,1,0,0,0,0,
['yahoo! web search engine'],0,1,0,0,0,0,
['global analysis'],0,1,1,0,0,1,
['term weighting'],1,1,1,1,1,1,
['library subject indexes'],1,1,1,1,1,1,
['medline query expansion'],0,1,0,0,0,,
['interactive query expansion'],1,1,1,1,1,1,
['automatic query expansion'],1,1,1,1,1,1,
['word co-occurrence statistics'],1,1,0,1,1,1,
['query log mining'],1,1,1,1,1,1,
['global analysis techniques'],0,1,1,0,1,1,
['result set'],0,1,0,0,0,0,
['user input'],0,1,0,0,0,0,
['text statistics'],0,1,0,0,0,0,
['grammatical analysis'],0,1,0,0,1,0,
['weighted count'],0,1,0,0,0,0,
['length-normalized'],0,1,0,0,0,0,
['false negatives'],1,1,1,1,1,1,
['dictionaries'],1,1,1,1,1,1,
['general thesauri'],0,1,0,0,0,0,
['domain-particular vocabularies'],1,1,1,1,1,1,
['global methods'],0,0,1,0,0,1,
['search process'],0,0,1,0,0,1,
['web search engine'],1,1,1,1,1,1,
['library of congress subject headings'],1,0,1,1,0,1,
['dewey decimal system'],1,0,1,1,0,1,
['unified medical language system'],1,0,1,1,0,1,
['local analysis'],0,0,1,0,0,1,
['thesaurus'],0,0,1,0,0,0,
['domain-specific thesaurus'],0,0,1,0,0,0,
['thesauri'],0,0,1,0,0,0,
