Concept,Mengdi,Nidhi,Mingyan,Mengdi (after),Nidhi (after),Mingyan (after),Notes
['boolean retrieval model'],1,0,1,1,,1,
['ranked retrieval models'],1,1,0,1,1,1,
"['free text queries', 'free text querying']",1,1,1,1,1,1,
"['documents', 'document']",1,0,1,1,1,1,
"['query', 'querying', 'queries']",1,0,1,1,1,1,
"['boolean operations', 'boolean operators']",1,0,1,1,1,1,cs domain
['boolean expression'],1,0,1,1,1,1,cs domain
"['terms', 'term']",1,0,1,1,1,1,
['proximity operator'],1,1,1,1,1,1,
"['information need', 'information needs']",1,1,1,1,1,1,
['phrase search'],1,0,1,1,1,1,
"['boolean queries', 'boolean query']",1,1,1,1,1,1,
['boolean search'],1,0,1,1,1,1,
['inverted index'],1,1,1,1,1,1,
['dictionary'],1,0,1,1,1,1,
['postings lists'],1,0,1,1,1,1,
['term frequency'],1,1,1,1,1,1,
['unstructured search'],1,0,1,1,1,1,
['web search engines'],1,0,0,1,0,0,
['boolean model'],0,1,0,1,1,1,
['models'],0,1,0,,,,
['vector space model'],0,1,1,1,1,1,
['boolean retrieval models'],0,1,0,1,1,1,
['query optimization'],0,1,0,1,1,1,
['ad hoc searching'],1,1,1,1,1,1,
['extented boolean model'],0,0,1,0,0,0,
['ranked retrieval'],0,0,1,1,1,1,
['text'],0,0,1,0,0,0,
['web search'],0,0,1,0,0,0,highlight
['wildcard query'],0,0,1,1,1,1,
['boolean query models'],0,0,1,1,1,1,
['recall'],0,0,1,1,1,1,
['connectors'],0,0,1,0,0,1,annotator does  not know the meaning
['precision'],0,0,1,1,1,1,
['query models'],0,0,1,1,1,1,
['index structures'],0,0,1,1,1,1,
['document score'],0,0,1,0,0,1,
['unstructured information'],0,0,1,1,1,1,equal to unstructed data
['indexing'],0,0,1,1,1,1,
