Concept,Mengdi,Nidhi,Mingyan,Mengdi (after),Nidhi (after),Mingyan (after),Notes
['support vector machines'],1,1,1,1,1,1,
['machine learning'],1,1,1,1,1,1,
['classifier effectiveness'],1,1,1,1,1,1,
['classifiers'],1,1,1,1,1,1,
['boosted decision trees'],1,1,1,1,1,1,
['regularized logistic regression'],1,1,1,1,1,1,
['neural networks'],1,1,1,1,1,1,
['random forests'],1,1,1,1,1,1,
['information retrieval problems'],1,1,1,1,1,1,
['text classification'],1,1,1,1,1,1,
['vector space based machine learning method'],1,1,1,1,1,1,
['decision boundary'],1,1,1,1,1,1,
['training data'],1,1,1,1,1,1,
"['svms', 'svm']",1,1,1,1,1,1,
['non-separable data'],1,1,1,1,1,1,
['multi-class problems'],1,1,1,1,1,1,
['domain-specific text features'],1,1,1,1,1,1,
['machine learning technology'],1,1,0,1,1,1,
['ad hoc retrieval'],1,1,1,1,1,1,
['machine learning methods'],1,1,1,1,1,1,
['effectiveness'],0,1,0,0,0,0,classifier effectiveness
['large-margin classifier'],1,1,1,1,1,1,
['vector space'],1,1,1,1,1,1,
['two-class data sets'],1,1,1,1,1,1,
['linear classifier'],1,1,1,1,1,1,
['documents'],1,1,1,1,1,1,
['classes'],1,0,1,1,1,1,
['outliers'],1,1,1,1,1,1,
['noise'],1,0,1,1,1,1,
['non-linear models'],1,1,1,1,1,1,
['svm performance'],0,0,1,0,0,0,
['text classifiers'],1,1,1,1,1,1,
