Concept,Mengdi,Nidhi,Mingyan,Mengdi (after),Nidhi (after),Mingyan (after),Notes
['classification'],1,1,1,1,1,1,
"['machine learning methods', 'machine learning method']",1,1,1,1,1,1,
['bias'],1,1,1,1,1,1,
['text features'],1,1,1,1,1,1,
['text classification'],1,1,1,1,1,1,
"['classifier', 'classifiers']",1,1,1,1,1,1,
['training data'],1,1,1,1,1,1,
['boolean expressions'],1,1,1,1,1,1,
"['documents', 'document']",1,1,1,1,1,1,
['documents'],1,1,1,1,1,1,
['document'],1,1,1,1,1,1,
['supervised classifier'],1,1,1,1,1,1,
['machine learning theory'],1,1,1,1,1,1,
['naive bayes'],1,1,1,1,1,1,
['semi-supervised training methods'],1,1,1,1,1,1,
['em algorithm'],1,1,1,1,1,1,
['bootstrapping'],1,1,1,1,1,1,
['semi-supervised learning algorithm'],1,1,1,1,1,1,
"['svms', 'svm']",1,1,1,1,1,1,
['transductive svms'],1,1,1,1,1,1,
['active learning'],1,1,1,1,1,1,
['linear classifier'],1,1,1,1,1,1,
['boolean rule-based classifier'],1,1,1,1,1,1,
['machine learning classifier'],1,1,1,1,1,1,
['machine learning models'],1,1,1,1,1,1,
['boolean-like models'],1,1,1,1,1,1,
['classification effectiveness'],1,1,1,1,1,1,
['text classification problem'],1,1,1,1,1,1,
['classification algorithms'],1,1,1,1,1,1,
['classification problems'],1,1,1,1,1,1,
['hierarchical structure'],1,0,1,1,1,1,
['hierarchical classification'],1,1,1,1,1,1,
['scalability of classifiers'],1,1,0,1,1,1,
['aggressive feature selection'],1,1,1,1,1,1,
['machine learning'],1,1,1,1,1,1,
"['boost', 'boosting']",1,1,1,1,1,1,
['boost'],1,1,1,1,1,1,
['boosting'],1,1,1,1,1,1,
['classification accuracy'],1,1,1,1,1,1,
['voting'],1,1,1,1,1,1,
['bagging'],1,1,1,1,1,1,
['ad hoc retrieval'],1,1,1,1,1,1,
['terms'],1,1,1,1,1,1,
['features for text'],1,0,1,0,0,0,
['ir query languages'],1,1,1,1,1,1,
['features'],1,1,1,1,1,1,
['feature engineering'],1,1,1,1,1,1,
['tokens'],1,1,1,1,1,1,
['effectiveness'],1,1,1,1,1,1,
['k-gram features'],1,1,1,1,1,1,
['stemming'],1,1,1,1,1,1,
['lowercasing'],1,1,1,1,1,1,
['test collection'],1,1,1,1,1,1,
['ir'],1,1,1,1,1,1,
['parameter tying'],1,1,1,1,1,1,
['text summarization'],1,1,1,1,1,1,
['feature selection'],1,1,1,1,1,1,
['feature selection methods'],1,1,1,1,1,1,
['accuracy'],1,1,1,1,1,1,
['categorization'],1,1,1,1,1,1,
"['text classifier', 'text classifiers']",1,1,1,1,1,1,
['text classifier'],1,1,1,1,1,1,
['text classifiers'],1,1,1,1,1,1,
['query languages'],0,1,1,1,1,1,
['precision'],1,1,1,1,1,1,
['recall'],1,1,1,1,1,1,
['decision trees'],1,1,1,1,1,1,
['classifier effectiveness'],1,1,1,1,1,1,
['document collection'],1,1,1,1,1,1,
['subvocabularies'],0,1,0,1,1,1,
['web directories'],0,1,0,1,1,1,
['library classification schemes'],0,1,0,1,1,1,
['classification schemes'],1,1,1,1,1,1,
['feature sparseness'],1,1,1,1,1,1,
['k-gram'],0,1,0,0,0,0,
['data sparseness'],1,1,1,1,1,1,
['document zones'],1,1,1,1,1,1,
['classification of text documents'],1,1,1,1,1,1,
['email spam filtering'],0,1,1,0,0,0,
['domain-specific text features'],1,1,1,1,1,1,
['nearest neighbor model'],1,1,1,1,1,1,
['classifier performance'],0,1,1,0,0,0,
['confidence decisions'],1,0,1,1,1,1,
['spam filtering'],0,1,1,0,0,0,
['porn filtering'],0,0,1,0,0,0,
['classifier speed'],0,0,1,0,0,0,
['tying parameters'],1,0,1,1,1,1,
['upweighting'],0,0,1,1,1,1,
