Concept,Mengdi,Nidhi,Mingyan,Mengdi (after),Nidhi (after),Mingyan (after),Notes
['postings list intersection'],1,1,1,1,1,1,
['skip pointers'],1,1,1,1,1,1,
"['postings lists', 'postings list']",1,1,1,1,1,1,
"['skip list', 'skip lists']",1,1,1,1,1,1,
['query'],1,0,1,1,1,1,
['query terms'],1,0,0,1,1,1,
['search engine'],1,0,1,1,1,1,
['term'],0,1,0,1,1,1,
['vocabulary'],0,1,0,1,1,1,
['merge'],0,1,0,0,0,0,verb
['results list'],0,1,0,0,0,0,
['skip list pointer'],0,1,1,1,1,1,
['skip span'],0,1,0,1,1,1,
['index'],0,1,0,1,1,1,
['index construction'],0,1,0,1,1,1,
['index size'],0,1,0,0,0,0,
['postings list data structures'],0,0,1,1,1,1,
['recall'],0,0,1,1,1,1,
['postings entries'],0,0,1,0,0,0,
['intersection'],0,0,1,0,0,0,
['augmenting postings lists'],0,0,1,0,0,0,
['hasskip'],0,0,1,0,0,0,
['skips'],0,0,1,0,0,0,
['heuristic'],0,0,1,0,0,1,
['inverted index'],0,0,1,1,1,1,
['encoding'],0,0,1,1,1,1,
['disk postings list'],0,0,1,1,1,1,
