Concept,Mengdi,Nidhi,Mingyan,Mengdi (after),Nidhi (after),Mingyan (after),Notes
['term frequency'],1,1,1,1,1,1,
['term weighting'],1,0,0,1,0,0,
['term weights'],1,0,1,1,1,1,
"['query term', 'query terms']",1,1,1,1,1,1,
"['document', 'documents']",1,1,1,1,1,1,
['query'],1,1,1,1,1,1,
['free text query'],1,1,1,1,1,1,
['search interface'],1,1,1,1,1,1,
['boolean operators'],1,1,1,1,1,1,
['bag of words'],1,1,1,1,1,1,
['bag of words model'],1,1,1,1,1,1,
"['term', 'terms']",1,1,1,1,1,1,
['bag of words representations'],1,0,0,0,0,0,
['stop words'],1,1,1,1,1,1,
['inverse document frequency'],1,1,1,1,1,1,
['collection frequency'],1,1,1,1,1,1,
['collection'],1,1,1,1,1,1,
['document frequency'],1,1,1,1,1,1,
['collection frequency'],1,0,0,1,0,0,
['document frequency'],1,0,0,1,0,0,
['inverse document frequency'],1,0,0,1,0,0,
['idf'],1,1,1,1,1,1,
"['tf-idf weighting', 'tf-idf weight']",1,1,1,1,1,1,
['document vector'],1,1,1,1,1,1,
['dictionary'],1,1,1,1,1,1,
"['dictionary terms', 'dictionary term']",1,1,1,1,1,1,
['overlap score measure'],1,1,1,1,1,1,
['scoring'],1,1,1,1,1,1,
['zone'],1,1,1,1,1,1,
"['weight', 'weighting']",1,1,1,1,1,1,
['raw term frequency'],0,1,0,0,0,0,
['document-level statistic'],1,1,1,1,1,1,
['tf-idf weighting scheme'],1,1,1,1,1,1,
['ranking'],1,1,1,1,1,1,
['search operators'],1,1,1,1,1,1,
['weighting scheme'],1,1,1,1,1,1,
['boolean retrieval'],1,1,1,1,1,1,
['collection-wide statistic'],0,0,1,1,1,1,
['df'],1,1,1,1,1,1,
['cf'],1,1,1,1,1,1,
['reuters collection'],0,0,1,1,1,1,
['tf-idf'],1,1,1,1,1,1,
