Concept,Mengdi,Nidhi,Mingyan,Mengdi (after),Nidhi (after),Mingyan (after),Notes
['flat clustering'],1,1,1,1,1,1,
"['cluster', 'clusters']",1,1,1,1,1,1,
['clustering'],1,1,1,1,1,1,
"['clustering algorithms', 'clustering algorithm']",1,1,1,1,1,1,
"['documents', 'document']",1,1,1,1,1,1,
['unsupervised learning'],1,1,1,1,1,1,
['cluster membership'],1,0,1,1,1,1,
['classification'],1,1,1,1,1,1,
['supervised learning'],1,1,1,1,1,1,
['categorical distinction'],1,0,0,0,0,0,
['distance measure'],1,0,0,1,1,1,
['document clustering'],1,1,1,1,1,1,
['euclidean distance'],1,1,1,1,1,1,
['hierarchical clustering'],1,1,1,1,1,1,
['hard clustering'],1,1,1,1,1,1,
['soft clustering algorithms'],1,1,1,1,1,1,
['latent semantic indexing'],1,1,1,1,1,1,
['dimensionality reduction'],1,1,1,1,1,1,
['information retrieval'],1,1,1,1,1,1,
['k-means'],1,1,1,1,1,1,
['hard clustering algorithm'],1,1,1,1,1,1,
['expectation-maximization algorithm'],1,1,1,1,1,1,
['em algorithm'],1,1,1,1,1,1,
['classes'],1,1,1,1,1,1,
['hard assignment'],1,1,1,1,1,1,
['subsets'],0,1,1,1,1,1,
['supervision'],1,0,1,1,0,1,
['2d plane'],0,0,1,1,1,1,
['soft clustering'],1,1,1,1,1,1,
