Concept,Mengdi,Nidhi,Mingyan,Mengdi (after),Nidhi (after),Mingyan (after),Notes
['probabilistic methods'],1,1,1,1,1,1,
['ir'],1,1,1,1,1,1,
['computational linguistics'],1,1,1,1,1,1,
['probabilistic ir model'],1,1,1,1,1,1,
['bim'],1,1,1,1,1,1,
['boolean representation of documents'],1,1,1,1,1,1,
['boolean representation of queries'],1,1,1,1,1,1,
['boolean representation of relevance'],1,1,1,1,1,1,
['term independence'],1,1,1,1,1,1,
"['terms', 'term']",1,1,1,1,1,1,
"['query', 'queries']",1,1,1,1,1,1,
['document relevance'],1,1,1,1,1,1,
['bm25 weighting scheme'],1,1,1,1,1,1,
['ir systems'],1,1,1,1,1,1,
"['probabilistic ir system', 'probabilistic ir systems']",1,1,1,1,1,1,
['tf-idf'],1,1,1,1,1,1,
['vector-space ir system'],1,1,1,1,1,1,
['tree-structured dependencies between terms'],1,0,0,1,0,0,
['a tree structure of term dependencies'],1,0,0,1,0,0,
['okapi bm25'],1,1,1,1,1,1,
['non-binary model'],1,1,1,1,1,1,
"['collections', 'collection']",1,1,1,1,1,1,
['bm25 weights'],1,1,1,1,1,1,
['okapi weighting'],1,1,1,1,1,1,
['idf'],1,1,1,1,1,1,
['relevance feedback'],1,1,1,1,1,1,
"['documents', 'document']",1,1,1,1,1,1,
['query terms'],1,1,1,1,1,1,
['positive tuning parameter'],1,1,1,1,1,1,
['length normalization of the query'],1,0,1,1,1,1,
"['tuning parameters', 'tuning parameter']",1,1,1,1,1,1,
['relevance judgments'],1,1,1,1,1,1,
['document term'],1,1,1,1,1,1,
['bm25 term weighting'],1,0,1,1,1,1,
['bayesian network approaches'],1,1,1,1,1,1,
"['bayesian networks', 'bayesian network']",1,1,1,1,1,1,
['directed graphs'],1,1,1,1,1,1,
['probabilistic dependencies'],1,1,1,1,1,1,
['directed acyclic graphs'],1,1,1,1,1,1,
['document collection network'],1,1,1,1,1,1,
['query network'],1,1,1,1,1,1,
['probabilistic network'],1,1,1,1,1,1,
['boolean and probabilistic models'],1,1,1,1,1,1,
['statistical ranked retrieval model'],1,1,1,1,1,1,
['structured query operators'],1,1,1,1,1,1,
['trec evaluations'],1,1,1,1,1,1,
['parameter estimation'],1,0,0,0,0,0,
['bayesian network-based information retrieval systems'],1,1,1,1,1,1,
"['probabilistic models', 'probabilistic model']",1,1,0,1,1,1,
['probabilistic ir'],1,1,1,1,1,1,
['boolean representation'],1,1,0,1,1,1,
['relevance'],1,1,1,1,1,1,
['term weighting models'],1,1,1,1,1,1,
['term weighting scheme'],1,1,1,1,1,1,
['vector space'],1,1,0,1,1,1,
['information retrieval scheme'],0,1,0,0,0,0,
['cosine similarity'],1,1,1,1,1,1,
['probability theory'],1,1,1,1,1,1,
['probabilistic system'],1,1,1,1,1,1,
['tree structure'],1,1,1,1,1,1,
['term dependencies'],1,1,1,1,1,1,
['tree structure of dependencies'],1,1,1,1,1,1,
['tree augmented naive bayes model'],1,1,1,1,1,1,
['machine learning data sets'],0,1,0,0,0,0,
['full-text search collections'],1,1,0,1,1,1,
['term frequency'],1,1,1,1,1,1,
['document length'],1,1,1,1,1,1,
['weighting scheme'],1,1,0,1,1,1,
['document scoring'],1,1,0,1,1,1,
['idf weighting'],1,1,0,1,1,1,
['negative term weight'],0,1,0,0,0,0,
['stop list'],1,1,1,1,1,1,
['document term frequency scaling'],1,1,0,1,1,1,
['binary model'],1,1,1,0,1,1,
['raw term frequency'],0,1,0,0,0,0,
['term weight'],1,1,1,1,1,1,
['length normalization'],0,1,0,1,1,1,
['term frequency scaling'],1,1,0,1,1,1,
['test collection'],0,1,0,0,1,0,
['document term frequency'],1,1,1,1,1,1,
['document length scaling'],1,1,0,1,1,1,
['term weighting method'],1,1,1,1,1,1,
['query vector'],1,1,1,1,1,1,
['information retrieval'],1,1,1,1,1,1,
['probabilistic graphical model'],1,1,1,1,1,1,
['information need'],1,1,1,1,1,1,
['query subexpressions'],1,1,0,1,1,1,
['boolean models'],1,1,1,1,1,1,
['inquery text retrieval system'],1,1,1,1,1,1,
['dependencies'],0,0,1,0,0,1,
['machine learning'],1,1,1,1,1,1,
['term weight'],1,1,1,1,1,1,
['performance'],0,0,1,0,0,0,
['grid search'],1,0,1,1,1,1,
['network'],0,0,1,0,0,0,
