Concept,Mengdi,Nidhi,Mingyan,Mengdi (after),Nidhi (after),Mingyan (after),Notes
['feature selection'],1,1,1,1,1,1,
"['terms', 'term']",1,1,1,1,1,1,
['training set'],1,1,1,1,1,1,
['text classification'],1,1,1,1,1,1,
['nb'],1,1,1,1,1,1,
['classification accuracy'],1,1,1,1,,1,
"['noise features', 'noise feature']",1,1,1,1,1,1,
"['documents', 'document']",1,1,1,1,1,1,
['documents'],1,1,1,1,1,1,
['document'],1,1,1,1,1,1,
['overfitting'],1,1,1,1,1,1,
['weaker classifier'],1,0,0,1,0,0,
['statistical text classification'],1,1,1,1,1,1,
['bias-variance tradeoff'],1,1,1,1,1,1,
['feature selection algorithm'],1,1,1,1,1,1,
['vocabulary'],1,1,1,1,1,1,
['classification'],1,1,1,1,1,1,
['nb models'],1,1,1,1,1,1,
['bernoulli model'],1,1,1,1,1,1,
['bernoulli nb classifier'],1,1,1,1,1,1,
['two-class classification'],1,1,1,1,1,1,
['mutual information'],1,1,1,1,1,1,
['mi'],1,1,1,1,1,1,
"['mles', 'mle']",1,1,1,1,1,1,
['reuters-rcv1'],1,1,1,1,1,1,
['mi feature selection'],1,1,1,1,1,1,
['parameter estimation'],1,1,1,1,1,1,
['statistical significance'],1,1,0,1,1,1,
['yates correction'],1,1,1,1,1,1,
['statistical dependence of variables'],1,0,0,1,1,1,
['statistical independence of variables'],1,0,0,1,1,1,
['frequency-based feature selection'],1,1,1,1,1,1,
['multinomial model'],1,1,1,1,1,1,
['suboptimal accuracy'],1,0,0,11,1,1,
"['classifiers', 'classifier']",1,1,1,1,1,1,
['feature selection statistics'],1,1,1,1,1,1,
['text classification problems'],1,1,1,1,1,1,
['greedy feature selection'],1,1,1,1,1,1,
['text clasification'],1,1,1,1,1,1,
['document frequency'],0,1,1,1,1,1,
['accuracy'],0,1,1,1,1,1,
['learning method'],1,1,1,1,1,1,
['class'],1,1,1,1,1,1,
['classification decision'],0,1,1,0,1,1,
['collection'],1,1,1,1,1,1,
['f1'],1,1,1,1,1,1,
['effectiveness'],1,1,1,1,1,1,
['χ2 feature selection'],1,1,1,1,1,1,
['independence'],0,0,1,1,1,1,
['observed frequency'],0,0,1,1,1,0,
['expected frequency'],0,0,1,1,1,1,
['statistically significant'],0,0,1,0,0,0,
['degree of freedom'],0,0,1,1,1,1,
['statistical dependence'],0,0,1,0,0,0,
['statistical independence'],0,0,1,0,0,0,
['collection frequency'],0,1,1,1,1,1,
['top k/n'],0,0,1,0,0,0,
"['feature', 'features']",1,1,1,1,1,1,
['feature selection methods'],1,1,1,1,1,1,
['confidence'],0,0,1,1,1,1,
['significance'],1,1,1,1,1,1,
['greedy methods'],1,1,1,1,1,1,
['non-greedy methods'],1,1,1,1,1,1,
