Concept,Mengdi,Nidhi,Mingyan,Mengdi (after),Nidhi (after),Mingyan (after),Notes
['phonetic correction'],1,1,1,1,1,1,
['tolerant retrieval'],1,1,1,1,1,1,
['query'],1,1,1,1,1,1,
['target term'],1,0,0,0,0,0,
['phonetic misspellings'],1,1,0,0,0,0,
"['phonetic hashing', 'phonetic hash']",1,1,1,1,1,1,
['inverted index'],1,1,1,1,1,1,
['vocabulary terms'],1,1,1,1,1,1,
"['soundex code', 'soundex codes']",1,1,1,1,1,1,
['soundex index'],1,1,1,1,1,1,
['soundex'],1,1,1,1,1,1,
"['soundex algorithms', 'soundex algorithm']",1,1,1,1,1,1,
['index'],0,1,0,0,0,0,
['soundex map'],1,1,1,1,1,1,
['standard inverted index'],0,1,0,0,0,0,
"['equivalence class', 'equivalence classes']",1,1,1,1,1,1,
"['algorithms', 'algorithm']",0,1,1,1,1,1,
['searches'],0,0,1,1,1,1,
['terms'],1,1,1,1,1,1,
['query terms'],1,1,1,1,1,1,
['soundex match'],1,1,1,1,1,1,
['string'],0,0,1,1,1,1,
