Concept,Mengdi,Nidhi,Mingyan,Mengdi (after),Nidhi (after),Mingyan (after),Notes
['index construction'],1,1,1,1,1,1,
['inverted index'],1,1,1,1,1,1,
"['indexing', 'indexer', 'index', 'indexes']",1,1,1,1,1,1,
"['indexing algorithms', 'indexing algorithm']",1,1,1,1,1,1,
['blocked sort-based indexing'],1,1,1,1,1,1,
['efficient single-machine algorithm'],1,0,0,1,0,0,
['static collections'],1,1,1,1,1,1,
['single-pass in-memory indexing'],1,1,1,1,1,1,
['vocabulary'],1,1,1,1,1,1,
"['collections', 'collection']",1,1,1,1,1,1,
['computer clusters'],1,1,1,1,1,1,
['dynamic indexing'],1,1,1,1,1,1,
['ranked retrieval'],1,1,1,1,1,1,
"['documents', 'document']",1,1,1,1,1,1,
['local file system'],1,1,1,1,1,1,
"['content management systems', 'content management system']",1,1,1,1,1,1,
"['databases', 'database']",1,1,1,1,1,1,
['information retrieval (ir) system'],1,1,0,1,1,1,
['hardware basics'],1,1,0,0,0,0,
['ir system design'],1,1,0,1,1,1,
['memory'],1,1,1,1,1,1,
['caching'],1,1,1,1,1,1,sub-title
['seek time'],1,1,1,1,1,1,
['buffer'],1,1,1,1,1,1,
['system bus'],1,0,0,1,1,1,
['disk i/o'],1,1,1,1,1,1,
['efficient decompression algorithm'],1,0,0,1,0,0,
"['ir systems', 'ir system']",1,1,1,1,1,1,
['single-machine algorithm'],0,1,1,0,1,1,
['sort-based indexing algorithm'],1,1,1,1,1,1,
['compress'],0,1,0,0,0,0,
['decompress'],0,1,0,0,0,0,
['spidered'],0,1,0,0,0,0,
['crawled'],0,1,0,0,0,0,
['enterprise search'],0,1,1,1,1,1,
['email application'],0,1,0,0,1,0,
['application programming interfaces'],1,1,1,1,1,1,
['ir'],1,1,1,1,1,1,
['clock cycles'],1,1,1,1,1,1,
['byte'],0,1,1,1,1,1,
['disk'],0,1,1,0,1,1,
"['megabyte', 'megabytes']",0,1,1,1,1,1,
['operating systems'],0,1,0,0,1,0,
['algorithm'],0,1,1,0,1,1,
['web search'],0,0,1,1,1,1,
['http'],0,0,1,1,1,1,
['apis'],0,0,1,1,1,1,
['information retrieval'],1,1,1,1,1,1,
['main memory caching'],0,0,1,1,1,1,
['data transfer rates'],0,0,1,0,0,1,
['mb'],0,0,1,1,1,1,
['chunks'],0,0,1,0,0,1,
"['blocks', 'block']",0,1,1,1,1,1,
['main memory'],1,1,1,1,1,1,
['decompression algorithm'],1,1,1,1,1,1,
['gigabytes'],1,1,1,1,1,1,
['gb'],0,0,1,1,1,1,
