Concept,Mengdi,Nidhi,Mingyan,Mengdi (after),Nidhi (after),Mingyan (after),Notes
['naive bayes'],1,1,1,1,1,1,
['classification'],1,1,1,1,1,1,
['document'],1,1,1,1,1,1,
['class membership'],1,0,0,1,1,1,
['maximum a posteriori probability'],1,1,1,1,1,1,
['bayesâ\x80\x99 rule'],1,1,1,1,1,1,
"['classes', 'class']",1,1,1,1,1,1,
['classes'],1,1,1,1,1,1,
['class'],1,1,1,1,1,1,
['bayesian text classification'],1,1,1,1,1,1,
['generative process'],1,0,0,0,0,0,
['conditional distribution'],1,1,1,1,1,1,
"['terms', 'term']",1,1,1,1,1,1,
['binary vector'],1,1,1,1,1,1,
['classification problem'],1,1,1,1,1,1,
['text classification problem'],1,1,1,1,1,1,
['text classification'],1,1,1,1,1,1,
['bernoulli model'],1,1,1,1,1,1,
['conditional independence assumption'],1,1,1,1,1,1,
['random variable'],1,1,1,1,1,1,
['vocabulary'],1,1,1,1,1,1,
['nb models'],1,1,1,1,1,1,
['conditional independence'],1,1,1,1,1,1,
['multinomial model'],1,1,1,1,1,1,
['nb classification'],1,1,1,1,1,1,
['term distributions'],1,1,1,1,1,1,
['positional independence'],1,1,1,1,1,1,
['conditional probabilities'],1,1,1,1,1,1,
['bag of words model'],1,1,1,1,1,1,
['ad hoc retrieval'],1,1,1,1,1,1,
['document generation model'],1,1,1,1,1,1,
['bag-of-words model'],1,1,1,1,1,1,
['nb'],1,1,1,1,1,1,
['nb classifiers'],1,1,1,1,1,1,
['concept drift'],1,1,1,1,1,1,
['training data'],1,1,1,1,1,1,
['term frequency'],1,1,1,1,1,1,
['sequence model'],1,1,1,1,1,1,
['naive bayes conditional independence assumption'],1,1,1,1,1,1,
['optimal classifier'],1,1,1,1,1,1,
['document space'],1,1,1,1,1,1,
['position'],0,0,1,0,0,0,
['probability distribution'],0,1,1,1,1,1,
['data sparseness'],1,0,1,1,1,1,
['random variable c'],0,0,1,0,0,0,
['random variable x'],0,0,1,0,0,0,
['random variable u'],0,0,1,0,0,0,
['token generation model'],1,1,1,1,1,1,
['stop word'],1,1,1,1,1,1,
['text classifier'],1,1,1,1,1,1,
['probability estimates'],0,0,1,1,1,1,
['classification decisions'],0,0,1,0,0,0,
['accuracy'],0,1,1,1,1,1,
['noise features'],0,1,1,1,1,1,
['knn'],1,1,1,1,1,1,
