Concept,Mengdi,Nidhi,Mingyan,Mengdi (after),Nidhi (after),Mingyan (after),Notes
"['postings lists', 'postings list']",1,1,1,1,1,1,
['inverted index'],1,1,1,1,1,1,
"['tokens', 'tokenization', 'token']",1,1,1,1,1,1,
"['term', 'terms']",1,1,1,1,1,1,
"['documents', 'document']",1,1,1,1,1,1,
"['indexing', 'index']",1,1,1,1,1,1,
['linguistic preprocessing'],1,1,1,1,1,1,
['postings list data structure'],1,0,0,1,0,1,
"['proximity queries', 'proximity query']",1,1,1,1,1,1,
"['boolean models', 'boolean model']",1,1,0,1,1,1,"rule 3, extended"
['character sequence decoding'],1,1,1,1,1,1,
['document delineation'],1,1,1,1,1,1,
['unicode utf-8'],1,0,1,1,1,1,rule 0
['classification problem'],1,0,0,0,0,0,"rule 3, see row 31"
['heuristic methods'],1,0,1,1,1,1,
"['encoding', 'encodings']",1,1,1,1,1,1,
['xml documents'],1,0,1,1,1,1,cs domain
['document unit'],1,1,1,1,1,1,
['html pages'],1,0,1,1,1,1,cs domain
['indexing granularity'],1,1,1,1,1,1,
['precision'],1,0,1,1,1,1,miss
['recall'],1,0,1,1,1,1,miss
['xml retrieval'],1,0,1,1,1,1,miss
['ir system'],1,0,1,1,1,1,miss
['document collection'],1,0,1,1,1,1,miss
['vocabulary'],0,1,0,1,1,1,miss
['inverted index construction'],0,1,0,1,1,1,miss
['text'],0,1,0,0,1,0,
['phrase query'],0,1,0,1,1,1,miss
['machine learning classification problem'],0,1,1,1,1,1,miss
"['query', 'querying']",0,1,1,1,1,1,miss
['extended postings list data structure'],0,0,1,0,0,0,rule 3
['postings data structures'],0,0,1,1,0,1,
['extended boolean models'],0,0,1,0,0,0,rule 3
['ascii encoding'],0,1,1,1,1,1,
['byte'],0,0,1,1,1,1,
['multibyte encoding schemes'],0,0,1,1,1,1,miss
['metadata'],0,0,1,1,1,1,
['binary representation'],0,0,1,1,1,1,miss
['decoding'],0,0,1,1,1,1,
['character entities'],0,0,1,0,0,0,miss
['xml files'],0,0,1,1,1,1,
['markup'],0,0,1,1,1,1,
['character encodings'],0,0,1,1,1,1,
['writing systems'],0,0,1,0,0,0,
['digital representation'],0,0,1,1,1,1,
['unix email file'],0,0,1,0,0,0,
['zip file'],0,0,1,0,0,0,
['collection'],0,0,1,1,1,1,miss
['relevant information'],0,0,1,1,1,1,miss
['implicit proximity search'],0,0,1,1,1,1,miss
['index granularity'],0,0,1,1,1,1,miss
['information needs'],0,0,1,1,1,1,miss
['usage patterns'],0,0,1,1,1,1,
