Concept,Mengdi,Nidhi,Mingyan,Mengdi (after),Nidhi (after),Mingyan (after),Notes
['standard test collections'],1,0,0,0,0,0,
"['test collections', 'test collection']",1,1,1,1,1,1,
['ad hoc information retrieval system evaluation'],1,1,1,1,1,1,
['text classification'],1,1,1,1,1,1,
['cranfield'],1,1,1,1,1,1,
['cranfield collection'],1,1,1,1,1,1,
['information retrieval effectiveness'],1,1,1,1,1,1,
['text retrieval conference'],1,1,1,1,1,1,
['ir'],1,1,0,0,0,0,
['trec ad hoc track'],1,1,1,1,1,1,
"['trec evaluations', 'trec evaluation']",1,1,1,1,1,1,
"['information needs', 'information need']",1,1,1,1,1,1,
['test document collections'],1,1,1,1,1,1,
['documents'],1,1,1,1,1,1,
"['document collections', 'document collection']",1,1,1,1,1,1,
['gov2 web page collection'],1,1,1,1,1,1,
['web collection'],1,1,1,1,1,1,
['gov2'],1,1,1,1,1,1,
['nii test collections for ir systems'],1,1,1,1,1,1,
['cross-language information retrieval'],1,1,1,1,1,1,
['cross language evaluation forum'],1,1,1,1,1,1,
['clef'],1,1,1,1,1,1,
['reuters-21578'],1,1,1,1,1,1,
['reuters-rcv1'],1,1,1,1,1,1,
['20 newsgroups'],1,1,1,1,1,1,
['text classification collection'],1,1,1,1,1,1,
['ad hoc information retrieval system'],0,1,0,0,0,0,
['queries'],1,1,1,1,1,1,
"['(query, document) pairs']",1,1,1,1,1,1,
['ir test bed evaluation'],0,1,0,1,1,1,
['topics'],1,1,1,1,1,1,
"['trecs', 'trec']",1,1,1,1,1,1,
['ntcir'],1,1,1,1,1,1,
['trec collections'],1,1,1,1,1,1,
['nist test document collections'],1,1,1,1,1,1,
['reuters'],1,1,1,1,1,1,
