Concept,Mengdi,Nidhi,Mingyan,Mengdi (after),Nidhi (after),Mingyan (after),Notes
['bernoulli model'],1,1,1,1,1,1,
['nb classifier'],1,1,1,1,1,1,
['multinomial model'],1,1,1,1,1,1,
['vocabulary'],1,1,1,1,1,1,
"['document', 'documents']",1,1,1,1,1,1,
['multivariate bernoulli model'],1,1,1,1,1,1,
['binary independence model'],1,1,1,1,1,1,
"['term', 'terms']",1,1,1,1,1,1,
['training and testing algorithms'],1,0,0,0,0,0,
['time complexity'],1,1,1,1,1,1,
['binary occurrence'],1,0,0,1,1,1,
['multiple occurrences'],1,0,0,0,0,0,
['bernoulli nb model'],1,1,1,1,1,1,
['classification'],1,1,1,1,1,1,
['generation models'],0,0,1,1,1,1,
['class'],1,1,1,1,1,1,
['tokens'],1,1,1,1,1,1,
['positions'],0,0,1,0,0,0,
['test document'],1,1,1,1,1,1,
