Concept,Mengdi,Nidhi,Mingyan,Mengdi (after),Nidhi (after),Mingyan (after),Notes
"['positional postings', 'positional posting']",1,1,1,1,1,1,
"['phrase queries', 'phrase query']",1,1,1,1,1,1,
"['queries', 'query']",1,1,1,1,1,1,
"['postings lists', 'postings list']",1,1,1,1,1,1,
['ranked retrieval'],1,0,1,1,1,1,
"['biword indexes', 'biword index']",1,1,1,1,1,1,
['vocabulary term'],1,0,0,1,0,0,
"['boolean query', 'boolean queries']",1,1,1,1,1,1,
"['documents', 'document']",1,1,1,1,1,1,
['part-of-speech-tagging'],1,1,1,1,1,1,
['phrase index'],1,1,1,1,1,1,
"['terms', 'term']",1,1,1,1,1,1,
['vocabulary'],1,1,0,1,1,1,
['exhaustive biword dictionary'],1,0,0,0,0,0,
"['positional indexes', 'positional index']",1,1,1,1,1,1,
['token index'],1,1,1,1,1,1,
['merge operation'],1,0,0,1,1,1,if not verb
['positional index size'],1,0,0,0,0,0,
['postings intersection operation'],1,0,1,0,0,0,
['document collection'],1,1,1,1,1,1,
['next word index'],1,1,1,1,1,1,
['double quotes syntax'],0,1,0,0,0,0,
"['implicit phrase query', 'implicit phrase queries']",0,1,1,1,1,1,
['web query'],0,1,0,1,1,1,
['term proximity weighting'],0,1,1,1,1,1,
['phrase'],0,1,0,0,0,0,
['biwords'],0,1,1,1,1,1,
['biword indexing model'],0,1,1,1,1,1,
['indexing model'],0,1,0,1,1,1,
"['tokenize', 'tokens']",0,1,1,1,1,1,
['text'],0,1,0,0,0,0,
['extended biword index'],0,1,1,0,0,0,
['false positive match'],0,1,0,1,1,0,
['biword dictionary'],0,1,1,1,1,1,
['position'],0,1,0,0,0,0,
['term frequency'],0,1,1,1,1,1,
['inverted index'],0,1,0,1,1,1,
['offsets'],0,1,0,0,0,0,
['k word proximity searches'],0,1,0,1,1,1,
['postings intersection'],0,1,0,1,1,1,
['positional postings lists'],0,1,1,1,1,1,
"['search engines', 'search engine']",0,0,1,1,1,1,
['query terms'],0,0,1,1,1,1,
['extended biwords'],0,0,1,0,0,0,
['index'],0,0,1,1,1,1,
['algorithm'],0,0,1,0,0,1,too general? 
['part-of-speech patterns'],0,0,1,1,1,1,
['searches'],0,0,1,1,1,1,
['dictionary'],0,0,1,1,1,1,
"['postings', 'posting']",0,0,1,1,1,1,
['docid'],0,0,1,1,1,1,
['inverted index entries'],0,0,1,0,0,0,
['proximity searches'],0,0,1,0,0,0,longest
['non-positional index'],0,0,1,1,1,1,
['compressed positional index'],0,0,1,1,1,1,not sure about compressed
['collection'],0,0,1,1,1,1,
['querying behavior'],0,0,1,0,0,1,not 100%
