Concept,Mengdi,Nidhi,Mingyan,Mengdi (after),Nidhi (after),Mingyan (after),Notes
"['documents', 'document']",1,1,1,1,1,1,
['edit distance'],1,1,1,1,1,1,
['k-gram overlap'],1,1,1,1,1,1,
['spelling correction algorithms'],1,1,1,1,1,1,
"['query', 'queries']",1,1,1,1,1,1,
"['search engines', 'search engine']",1,1,1,1,1,1,
['efficient computation'],1,0,0,0,0,0,
['isolated-term correction'],1,1,1,1,1,1,
['context-sensitive correction'],1,1,1,1,1,1,
"['edit operations', 'edit operation']",1,1,1,1,1,1,
['levenshtein distance'],1,1,1,1,1,1,
['dynamic programming algorithm'],1,1,1,1,1,1,
"['terms', 'term']",1,1,1,1,1,1,
['vocabulary'],1,1,1,1,1,1,
['decoding problem'],1,1,1,1,1,1,
['b-tree'],1,1,1,1,1,1,
['permuterm index'],1,1,1,1,1,1,
['dictionary terms'],1,1,1,1,1,1,
['b-tree traversal'],1,1,1,1,1,1,
"['k-gram indexes', 'k-gram index']",1,1,1,1,1,1,
"['vocabulary terms', 'vocabulary term']",1,1,1,1,1,1,
"['query term', 'query terms']",1,1,1,1,1,1,
['k-grams'],1,1,1,1,1,1,
['retrieval process'],1,1,0,1,1,0,
['postings'],1,1,1,1,1,1,
"['bigram', 'bigrams']",1,1,1,1,1,1,
['jaccard coefficient'],1,1,1,1,1,1,
['coefficient'],1,0,1,1,1,1,
['context sensitive spelling correction'],1,1,1,1,1,1,
['spelling correction'],0,1,1,1,1,1,
['spell-correction'],0,1,0,1,1,1,
['proximity'],0,1,0,0,0,0,
['dictionary'],1,1,1,1,1,1,
['spelling suggestion'],0,1,1,1,1,1,
['multiple-term query'],1,1,0,1,1,0,
['postings hits'],1,1,0,1,1,0,
['biword statistics'],0,1,0,0,0,0,
['algorithm'],0,1,1,1,1,1,
['collection'],1,1,1,1,1,1,
['phonetic similarity'],1,1,1,1,1,1,
['dynamic programming'],1,1,1,1,1,1,
['spelling correction problem'],0,0,1,1,1,1,
['codewords'],0,0,1,1,0,1,
['search'],1,1,1,1,1,1,
['query string'],0,0,1,1,1,1,combination? query term; query string
['2-gram'],1,0,1,1,0,1,
['query logs'],1,1,1,1,1,1,
"['biword', 'biwords']",1,1,1,1,1,1,
