Concept,Mengdi,Nidhi,Mingyan,Mengdi (after),Nidhi (after),Mingyan (after),Notes
['term weighting'],1,1,1,1,1,1,
"['documents', 'document']",1,1,1,1,1,1,
"['vector space models', 'vector space model']",1,1,1,1,1,1,
['cosine scoring algorithm'],1,1,1,1,1,1,
"['search engine', 'search engines']",1,1,1,1,1,1,
['cosine scoring'],1,1,1,1,1,1,
['cosine scores'],1,1,1,1,1,1,
['indexes'],1,1,1,1,1,1,
['query term proximity'],1,1,1,1,1,1,
['scoring'],1,1,1,1,1,1,
['score'],1,1,0,1,1,0,
['ranking'],1,1,1,1,1,1,
['query'],1,1,1,1,1,1,
['collection'],1,1,1,1,1,1,
['cosine similarity'],1,1,1,1,1,1,
"['terms', 'term']",1,1,1,1,1,1,
['postings'],1,1,1,1,1,1,
['inverted index'],1,1,1,1,1,1,
['boolean query'],1,1,1,1,1,1,
['tf'],1,1,1,1,1,1,
"['query terms', 'query term']",1,1,1,1,1,1,
['heap'],1,1,1,1,1,1,
['inexact top k document retrieval'],1,1,1,1,1,1,
['pointers'],1,0,1,1,1,1,
['phrase queries'],1,1,1,1,1,1,
['index elimination'],1,1,1,1,1,1,
['multi-term query'],1,1,1,1,1,1,
['idf'],1,1,1,1,1,1,
['postings traversal'],1,1,1,1,1,1,
['low-idf terms'],1,0,1,1,1,1,
['stop words'],1,1,1,1,1,1,
['champion lists'],1,1,1,1,1,1,
['fancy lists'],1,1,1,1,1,1,
['top docs'],1,1,1,1,1,1,
['dictionary'],1,1,1,1,1,1,
['tf-idf weighting'],1,1,1,1,1,1,
['index construction'],1,1,1,1,1,1,
['static quality scores'],1,1,1,1,1,1,
"['query-dependent score', 'query-dependent scores']",1,1,1,1,1,1,
"['postings list', 'postings lists']",1,1,1,1,1,1,
"['document ids', 'document id']",1,1,1,1,1,1,
"['global champion list', 'global champion lists']",1,1,1,1,1,1,
['impact ordering'],1,1,1,1,1,1,
['query termsâ\x80\x99 postings lists'],1,1,1,1,1,1,
['inexact top-k retrieval'],1,1,1,1,1,1,
['cluster pruning'],1,1,1,1,1,1,
['document vectors'],1,1,1,1,1,1,
['vector space'],1,1,1,1,1,1,
['free text queries'],1,1,1,1,1,1,
['query vector'],1,1,1,1,1,1,
['postings intersection'],1,1,1,1,1,1,
['dictionary term'],1,1,1,1,1,1,
['tf value'],0,1,0,0,0,0,
['k highest-scoring documents'],0,1,0,0,1,0,
['k top-scoring documents'],0,1,0,0,1,0,
['postings intersection algorithm'],0,1,1,1,1,1,
['top-k retrieval'],0,1,0,0,1,0,
['scoring function'],0,1,1,1,1,1,
['term frequency'],1,1,1,1,1,1,
['clustering'],1,1,1,1,1,1,
['search system'],1,1,1,1,1,1,
['query operators'],0,0,1,1,1,1,
['algorithm'],0,1,1,0,1,1,
['unit vector'],1,1,1,1,1,1,
['document unit vector'],1,1,1,1,1,1,
['web search'],1,1,1,1,1,1,
['learning methods'],0,0,1,1,0,1,refer to ml mathods
['static quality'],0,0,1,1,1,1,
['high'],0,0,1,0,0,1,The concept term should be understood by domain experts with relevant context.
['low'],0,0,1,0,0,1,
['high lists'],0,0,1,1,1,1,
['concurrent traversal'],1,0,1,1,1,1,
['document-at-a-time scoring'],0,0,1,1,1,1,
"['leaders', 'leader']",0,0,1,0,0,1,page 141 section 7.1.6 leader is a specail name of some selected documents
['followers'],0,0,1,0,0,1,page 141 section 7.1.6 followers is a specail name of some selected documents
['query processing'],1,1,1,1,1,1,
