Concept,Mengdi,Nidhi,Mingyan,Mengdi (after),Nidhi (after),Mingyan (after),Notes
['system quality'],1,1,1,1,1,1,
['user utility'],1,1,1,1,1,1,
['quantitative measures'],1,0,0,0,0,0,
"['search engine', 'search engines']",1,1,1,1,1,1,
['index'],1,1,1,1,1,1,
"['query', 'queries']",1,1,1,1,1,1,
['document collection'],1,1,1,1,1,1,
['documents'],1,1,1,1,1,1,
['collection'],1,1,1,1,1,1,
['modern web search engines'],1,0,0,0,0,0,
['ir system'],1,1,1,1,1,1,
"['a/b test', 'a/b testing', 'a/b tests']",1,1,1,1,1,1,
['ranking algorithm'],1,1,1,1,1,1,
['evaluate measures'],1,0,0,0,0,0,
['clickstream mining'],1,1,1,1,1,1,
['multiple linear regression'],1,1,1,1,1,1,
['information retrieval system'],1,1,1,1,1,1,
"['web search engine', 'web search engines']",1,1,1,1,1,1,
['intranet search engine'],1,1,1,1,1,1,
['information security'],1,1,1,1,1,1,
['clickthrough log analysis'],1,1,1,1,1,1,
['implicit feedback'],1,1,1,1,1,1,
['multivariate statistical analysis'],1,1,1,1,1,1,
['information need'],1,1,1,1,1,1,
['relevance'],1,1,1,1,1,1,
