Concept,Mengdi,Nidhi,Mingyan,Mengdi (after),Nidhi (after),Mingyan (after),Notes
['ponte and croftâ\x80\x99s experiments'],1,0,1,1,0,1,
['language modeling approach'],1,1,1,1,1,1,
['information retrieval'],1,1,1,1,1,1,
"['language model', 'language modelling']",1,1,1,1,1,1,
['language model'],1,1,1,1,1,1,
['multinomials'],1,0,1,1,0,1,
['multivariate bernoulli model'],1,1,1,1,1,1,
['lm approach'],1,1,1,1,1,1,
['ir'],1,1,1,1,1,1,
['text classification'],1,1,1,1,1,1,
['effectiveness'],1,1,1,1,1,1,
['term weights'],1,1,1,1,1,1,
['tf-idf weights'],1,1,1,1,1,1,
['trec topics'],1,1,1,1,1,1,
['trec disks'],1,1,1,1,1,1,
['queries'],1,1,1,1,1,1,
['tf-idf based term weighting approach'],1,0,0,1,1,1,
['ponte and croftâ\x80\x99s multivariate bernoulli model'],0,1,1,1,1,1,
['trec'],0,1,0,0,0,0,
['natural language queries'],0,1,0,1,1,1,
['lm'],0,0,1,0,0,0,
['tf-idf'],1,1,1,1,1,1,
['sentence-length natural language queries'],0,0,1,0,0,0,
['term weighting approach'],1,1,1,1,1,1,
