Concept,Mengdi,Nidhi,Mingyan,Mengdi (after),Nidhi (after),Mingyan (after),Notes
['relevance feedback'],1,1,1,1,1,1,
['pseudo relevance feedback'],1,1,1,1,1,1,
['relevance of documents'],1,0,0,1,0,0,
"['query', 'queries']",1,1,1,1,1,1,
"['collection', 'collections']",1,1,1,1,1,1,
['query refinement'],1,1,1,1,1,1,
['information need'],1,1,1,1,1,1,
['ir'],1,1,1,1,1,1,
['rocchio algorithm'],1,1,1,1,1,1,
['query vector'],1,1,1,1,1,1,
['relevant documents'],1,1,1,1,1,1,
['cosine similarity'],1,1,1,1,1,1,
"['nonrelevant documents', 'nonrelevant document']",1,1,1,1,1,1,
['vector space model'],1,1,1,1,1,1,
['vector space'],1,1,1,1,1,1,
['nonrelevant document's vector'],1,0,0,1,1,0,noun phrase?
['negative term weights'],1,0,0,0,0,0,
"['term weight', 'term weights']",1,1,1,1,1,1,
['recall'],1,1,1,1,1,1,
['precision'],1,1,1,1,1,1,
['positive feedback'],1,1,1,1,1,1,
"['ir systems', 'ir system']",1,1,1,1,1,1,
['image search system'],1,1,1,1,1,1,
['ranking'],1,1,1,1,1,1,
['ide dec-hi'],1,1,1,1,1,1,
['probabilistic relevance feedback'],1,1,1,1,1,1,
['classifier'],1,1,1,1,1,1,
['naive bayes probabilistic model'],1,1,1,1,1,1,
['boolean indicator variable'],1,0,1,1,1,1,
['relevance of a document'],1,0,0,1,0,0,
['collection statistics'],1,1,1,1,1,1,
['term distribution'],1,1,1,1,1,1,
['information retrieval'],1,1,1,1,1,1,
['cross-language information retrieval'],1,1,1,1,1,1,
['collection vocabulary'],1,1,1,1,1,1,
['rocchio relevance feedback model'],1,1,1,1,1,1,
['cluster'],1,1,1,1,1,1,
['multimodal class'],1,1,1,1,1,1,
['vocabulary'],1,1,1,1,1,1,
['document clusters'],1,1,1,1,1,1,
['web search engines'],1,1,1,1,1,1,
"['document', 'documents']",1,1,1,1,1,1,
['web search'],1,1,1,1,1,1,
['search interfaces'],1,0,0,1,0,0,
['excite search engine'],1,1,1,1,1,1,
['evaluation of relevance feedback strategies'],1,0,0,1,0,0,
['retrieval performance'],1,1,0,1,1,0,
['effectiveness of relevance feed- back'],1,0,0,1,0,,
['precision-recall graph'],1,1,0,1,1,1,
['mean average precision'],1,1,0,1,1,1,
['residual collection'],1,1,1,1,1,1,
['relevance judgments'],1,1,1,1,1,1,
['effectiveness'],1,0,1,0,0,1,
['blind relevance feedback'],1,1,1,1,1,1,
['query reformulation'],1,1,1,1,1,1,
['trec ad hoc task'],1,1,1,1,1,1,
['indirect relevance feedback'],1,1,1,1,1,1,
['implicit relevance feedback'],1,1,1,1,1,1,
['explicit feedback'],1,1,1,1,1,1,
['clickstream mining'],1,1,1,1,1,1,
['web search query'],1,1,1,1,1,1,
['information filter'],1,1,1,1,1,1,
['active learning'],1,1,0,0,0,0,
['rf'],0,1,0,0,0,0,
['ir query'],1,1,1,1,1,1,
['negative feedback'],0,1,1,1,1,1,
['query term weights'],1,1,1,1,1,1,
['term-weighting'],1,1,1,1,1,1,
['spelling correction techniques'],1,1,1,1,1,1,
['term frequency'],1,1,1,1,1,1,
['results set'],0,1,0,0,0,0,
['excite web search engine'],1,1,1,1,1,1,
['full relevance feedback'],1,1,1,1,1,1,
['clickstream data'],1,1,1,1,1,1,
['web link structure'],1,1,1,1,1,1,
['implicit feedback'],1,1,1,1,1,1,
['relevance feedback strategies'],0,1,0,1,1,1,
['interactive relevance feedback'],0,1,1,1,1,1,
['directhit search engine'],1,1,1,1,1,1,
['retrieval process'],0,1,1,1,1,1,
['optimal query vector'],0,0,1,0,1,1,"should we annotate the concepts with the word ""optimal"""
['optimal query'],0,0,1,0,1,1,
['underlying theory'],0,0,1,0,0,0,
"[""salton's smart system""]",1,1,1,1,1,1,
['term'],1,1,1,1,1,1,
['search'],1,1,1,1,1,1,
"['equation', 'equations']",0,0,1,0,0,0,
['misspellings'],0,0,1,0,0,1,
['language cluster'],0,0,1,0,0,0,
"[""searcher's vocabulary""]",1,0,1,1,0,1,
['relevance feedback techniques'],0,1,1,1,1,1,
['retrieval'],1,1,1,1,1,1,
['retrieved document quality'],0,0,1,0,0,1,
['term-based comparison'],0,0,1,0,0,0,
['ad hoc retrieval'],1,1,1,1,1,1,
