Concept,Mengdi,Nidhi,Mingyan,Mengdi (after),Nidhi (after),Mingyan (after),Notes
['dynamic indexing'],1,1,1,1,1,1,
['document collection'],1,1,1,1,1,1,
"['collections', 'collection']",1,1,1,1,1,1,
"['documents', 'document']",1,1,1,1,1,1,
['terms'],1,1,1,1,1,1,
['dictionary'],1,1,1,1,1,1,
"['postings lists', 'postings list']",1,1,1,1,1,1,
"['index', 'indexes']",1,1,1,1,1,1,
['auxiliary index'],1,1,1,1,1,1,
['memory'],1,1,1,1,1,1,
['invalidation bit vector'],1,1,1,1,1,1,
['merging operation'],1,1,1,1,1,1,
['vocabulary'],1,1,1,1,1,1,
"['posting', 'postings']",1,1,1,1,1,1,
['time complexity'],1,1,1,1,1,1,
['docids'],1,1,1,1,1,1,
['logarithmic merging'],1,1,1,1,1,1,
['in-memory auxiliary index'],1,1,1,1,1,1,
['binomial heap data structure'],1,1,1,1,1,1,
"['inverted indexes', 'inverted index']",1,1,1,1,1,1,
['efficiency gain'],1,0,0,0,0,0,
['index maintenance'],1,1,1,1,1,1,
['query processing'],1,1,1,1,1,1,
['search engines'],1,1,1,1,1,1,
"['query', 'querying']",1,1,1,1,1,1,
['main index'],0,1,1,1,1,1,
"['disk seek', 'disk seeks']",1,1,1,1,1,1,
['one-file-per-postings-list scheme'],1,1,1,1,1,1,
"['file system', 'file systems']",0,1,1,1,1,1,
['index construction time'],0,1,0,0,0,0,
['auxiliary index scheme'],1,1,1,1,1,1,
['spelling correction algorithm'],1,1,1,1,1,1,
['multiple indexes'],0,1,0,0,0,0,
['ir system'],1,1,1,1,1,1,
['reconstruction-from-scratch strategy'],1,1,1,1,1,1,
['scratch'],0,0,1,0,0,0,
['searches'],1,0,1,1,1,1,
['separate file'],0,0,1,0,0,0,
['disk'],0,1,1,1,1,1,
['index construction'],1,1,1,1,1,1,
['search system'],1,1,1,1,1,1,
['distribution'],0,0,1,0,0,1,
