Concept,Mengdi,Nidhi,Mingyan,Mengdi (after),Nidhi (after),Mingyan (after),Notes
['document representations'],1,1,1,1,1,1,
['vector spaces'],1,1,1,1,1,1,
['measures of relatedness'],1,1,1,1,1,1,
"['documents', 'document']",1,1,1,1,1,1,
['document vectors'],1,1,1,1,1,1,
['vector classification'],1,1,1,1,1,1,
['vectors'],1,1,1,1,1,1,
['length-normalized unit vectors'],1,1,1,1,1,1,
['vector space classifiers'],1,1,1,1,1,1,
['knn classification'],1,1,1,1,1,1,
['euclidean distance'],1,1,1,1,1,1,
['underlying distance measure'],1,1,1,1,1,1,
['cosine similarity'],1,1,1,1,1,1,
['length-normalized vectors'],1,1,1,1,1,1,
['vector space classification'],1,1,1,1,1,1,
['relatedness of two documents'],1,1,1,1,1,1,
['unit vectors'],1,1,1,1,1,1,
['centroids'],1,1,1,1,1,1,
['unnormalized vectors'],1,1,1,1,1,1,
['dot product'],1,1,1,1,1,1,
['hypersphere'],1,0,1,1,0,1,
