Concept,Mengdi,Nidhi,Mingyan,Mengdi (after),Nidhi (after),Mingyan (after),Notes
['vector space scoring'],1,1,1,1,1,1,
['vector space score'],1,1,1,1,1,1,
['query operators'],1,1,1,1,1,1,
['vector space model'],1,1,1,1,1,1,
"['free text queries', 'free text query']",1,1,1,1,1,1,
['vector space scoring model'],1,1,1,1,1,1,
"['queries', 'query']",1,1,1,1,1,1,
"['index', 'indexes']",1,1,1,1,1,1,
['retrieval methods'],1,1,1,1,1,1,
['search engine'],1,1,1,1,1,1,
"['documents', 'document']",1,1,1,1,1,1,
['boolean queries'],1,1,1,1,1,1,
['wildcard queries'],1,1,1,1,1,1,
"['phrase queries', 'phrase query']",1,1,1,1,1,1,
['query terms'],1,1,1,1,1,1,
['retrieved document'],1,1,1,1,1,1,
['web search engines'],1,1,1,1,1,1,
['boolean retrieval'],1,1,1,1,1,1,
"['term', 'terms']",1,1,1,1,1,1,
['document vector'],1,1,1,1,1,1,
['boolean index'],1,1,1,1,1,1,
['evidence accumulation'],1,1,1,1,1,1,
['postings'],1,1,1,1,1,1,
['dictionary'],1,1,1,1,1,1,
"['biword', 'biwords']",1,1,1,1,1,1,
['idf'],1,1,1,1,1,1,
['phrase retrieval'],1,1,1,1,1,1,
['query operator interaction'],1,1,1,1,1,1,
['free text retrieval'],1,1,1,1,1,1,
['conjunctive query'],0,1,1,1,1,1,
['vector space index'],1,1,1,1,1,1,
['p-norms'],1,1,1,1,1,1,
['vector space retrieval'],1,1,1,1,1,1,
['wildcard'],0,0,1,0,0,0,
['query boxes'],0,0,1,0,0,0,
['boolean'],1,1,1,1,1,1,
['vector space'],1,1,1,1,1,1,
"['vector space queries', 'vector space query']",1,1,1,1,1,1,
['wildcard operator'],0,1,1,1,1,1,
['query vector'],1,1,1,1,1,1,
['retrieval algorithms'],1,1,1,1,1,1,
['query parsing'],1,1,1,1,1,1,
