Concept,Mengdi,Nidhi,Mingyan,Mengdi (after),Nidhi (after),Mingyan (after),Notes
['scoring'],1,1,1,1,1,1,
['term weighting'],1,1,1,1,1,1,
['vector space model'],1,1,1,1,1,1,
"['indexes', 'index']",1,1,1,1,1,1,
['boolean queries'],1,1,1,1,1,1,
"['document', 'documents']",1,1,1,1,1,1,
['query'],1,1,1,1,1,1,
['document collections'],1,1,1,1,1,1,
['search engine'],1,1,1,1,1,1,
['vector space scoring'],1,1,1,1,1,1,
['query terms'],1,1,1,1,1,1,
['free text queries'],1,1,1,1,1,1,
"['terms', 'term']",1,1,1,1,1,1,
['metadata'],1,1,1,1,1,1,
['term-weighting'],1,1,1,1,1,1,
