Concept,Mengdi,Nidhi,Mingyan,Mengdi (after),Nidhi (after),Mingyan (after),Notes
['information retrieval system'],1,1,1,1,1,1,
['scoring'],1,1,1,1,1,1,
"['vector spaces', 'vector space']",1,1,1,1,1,1,
['vector space retrieval'],1,1,1,1,1,1,
['query operators'],1,1,1,1,1,1,
['retrieval'],1,1,1,1,1,1,
"['vector space queries', 'vector space query']",1,1,1,1,1,1,
['tiered indexes'],1,1,1,1,1,1,
['index elimination'],1,1,1,1,1,1,
['inexact top-k retrieval'],1,1,1,1,1,1,
"['documents', 'document']",1,1,1,1,1,1,
['documents'],1,1,1,1,1,1,
['document'],1,1,1,1,1,1,
['champion lists'],1,1,1,1,1,1,
['terms'],1,1,1,1,1,1,
['postings entries'],1,0,0,0,0,0,
['tf'],1,1,1,1,1,1,
['document id'],1,1,1,1,1,1,
['query-term proximity'],1,1,1,1,1,1,
['query terms'],1,1,1,1,1,1,
"['query', 'queries']",1,1,1,1,1,1,
"['proximity-weighted scoring functions', 'proximity-weighted scoring function']",1,1,1,1,1,1,
['cosine similarity'],1,1,1,1,1,1,
['scoring function'],1,1,1,1,1,1,
['machine learning'],1,1,1,1,1,1,
['search interfaces'],1,1,1,1,1,1,
['query distribution'],1,0,0,1,0,0,
['collection of documents'],1,0,0,1,0,0,
['query parser'],1,1,1,1,1,1,
"['phrase query', 'phrase queries']",1,1,1,1,1,1,
['vector space scoring'],1,1,1,1,1,1,
"['collections', 'collection']",1,1,1,1,1,1,
['web search'],1,1,1,1,1,1,
['machine-learned scoring'],1,1,1,1,1,1,
['boolean'],1,1,1,1,1,1,
['tokens'],1,1,1,1,1,1,
['tokenization'],1,1,1,1,1,1,
['parsed document'],1,0,1,1,1,1,
['spelling correction'],1,1,1,1,1,1,
['tolerant retrieval'],1,1,1,1,1,1,
['retrieved documents'],1,0,1,1,1,1,
['machine-learned ranking'],1,1,1,1,1,1,
['search system'],1,1,1,1,1,1,
['postings'],1,1,1,1,1,1,
['free text queries'],1,1,1,1,1,1,
['stop words'],1,1,1,1,1,1,
['web search engines'],1,1,1,1,1,1,
['static quality'],0,1,1,1,1,1,
['proximity weighting'],1,1,1,1,1,1,
['evidence accumulation'],0,1,1,1,1,1,
['aggregate scoring function'],0,1,1,1,1,1,
['parsing'],1,1,1,1,1,1,
['document collection'],1,1,1,1,1,1,
['field queries'],1,1,1,1,1,1,
['language and format detection'],0,1,1,0,1,1,
['stemming'],1,1,1,1,1,1,
['document cache'],0,1,1,1,1,1,
['zone and field indexes'],0,1,0,0,0,0,
['metadata'],1,1,1,1,1,1,
['positional indexes'],1,1,1,1,1,1,
"['indexes', 'index', 'indexers']",1,1,1,1,1,1,
['indexes'],1,1,1,1,1,1,
['index'],1,1,1,1,1,1,
['indexers'],1,1,1,1,1,1,
['top-k retrieval'],0,1,0,0,1,0,
['free text user query'],0,1,1,1,1,1,
['scoring module'],0,1,1,0,1,1,
['mlr'],1,1,1,1,1,1,
['search'],1,1,1,1,1,1,
['retrieval operators'],1,1,1,1,1,1,
['query string'],0,0,1,1,1,1,
['query parsing layer'],0,0,1,1,1,1,
"['zones', 'zone']",0,0,1,1,1,1,
['document management systems'],0,0,1,0,1,1,
['linguistic processing'],1,1,1,1,1,1,
['format detection'],0,0,1,1,0,0,
['field indexes'],0,0,1,1,1,1,
['zone indexes'],1,1,1,1,1,1,
